date,value
2014-01-01,642771.8
2014-01-02,658078.5
2014-01-03,680564.6
2014-01-04,644494.7
2014-01-05,598661.4
2014-01-06,669914.0
2014-01-07,678055.4
2014-01-08,670362.2
2014-01-09,669425.1
2014-01-10,594753.3
2014-01-11,573447.7
2014-01-12,691010.4
2014-01-13,738062.7
2014-01-14,704607.6
2014-01-15,708797.5
2014-01-16,699297.0
2014-01-17,608400.9
2014-01-18,584881.6
2014-01-19,736192.7
2014-01-20,719425.0
2014-01-21,723077.6
2014-01-22,734623.8
2014-01-23,717296.3
2014-01-24,692466.7
2014-01-25,631061.5
2014-01-26,756901.8
2014-01-27,781159.6
2014-01-28,733211.6
2014-01-29,753033.9
2014-01-30,722565.9
2014-01-31,701363.9
2014-02-01,645819.4
2014-02-02,728965.2
2014-02-03,758122.5
2014-02-04,801229.9
2014-02-05,749282.9
2014-02-06,765204.1
2014-02-07,713173.4
2014-02-08,643262.6
2014-02-09,779833.9
2014-02-10,762081.8
2014-02-11,758056.3
2014-02-12,771033.3
2014-02-13,741236.5
2014-02-14,657452.6
2014-02-15,612624.8
2014-02-16,704417.1
2014-02-17,693057.4
2014-02-18,733159.0
2014-02-19,740458.8
2014-02-20,729215.6
2014-02-21,630203.4
2014-02-22,624951.0
2014-02-23,686647.5
2014-02-24,716818.8
2014-02-25,715934.5
2014-02-26,696404.6
2014-02-27,720138.4
2014-02-28,650949.8
2014-03-01,627516.3
2014-03-02,735092.9
2014-03-03,727816.8
2014-03-04,715856.1
2014-03-05,677024.0
2014-03-06,643036.9
2014-03-07,623772.5
2014-03-08,613850.5
2014-03-09,655789.5
2014-03-10,685441.4
2014-03-11,660743.1
2014-03-12,645619.6
2014-03-13,619514.7
2014-03-14,615589.1
2014-03-15,585266.9
2014-03-16,625844.1
2014-03-17,645155.9
2014-03-18,640303.2
2014-03-19,616953.3
2014-03-20,610286.4
2014-03-21,628147.8
2014-03-22,606608.7
2014-03-23,679462.2
2014-03-24,738843.2
2014-03-25,742250.3
2014-03-26,669843.9
2014-03-27,674335.5
2014-03-28,666770.2
2014-03-29,549885.6
2014-03-30,637007.8
2014-03-31,690645.1
2014-04-01,670653.7
2014-04-02,669424.7
2014-04-03,723441.7
2014-04-04,642359.1
2014-04-05,557079.7
2014-04-06,643565.2
2014-04-07,656785.7
2014-04-08,641915.5
2014-04-09,626147.5
2014-04-10,645834.0
2014-04-11,612716.0
2014-04-12,564378.6
2014-04-13,615130.7
2014-04-14,597542.4
2014-04-15,575957.6
2014-04-16,551009.8
2014-04-17,517739.5
2014-04-18,524715.2
2014-04-19,539771.2
2014-04-20,507998.0
2014-04-21,606887.0
2014-04-22,599706.3
2014-04-23,635297.9
2014-04-24,691707.0
2014-04-25,622822.5
2014-04-26,592955.0
2014-04-27,645413.3
2014-04-28,629968.7
2014-04-29,608008.3
2014-04-30,499561.5
2014-05-01,593619.5
2014-05-02,611427.0
2014-05-03,528074.8
2014-05-04,608970.8
2014-05-05,633231.0
2014-05-06,630215.5
2014-05-07,633704.6
2014-05-08,646127.2
2014-05-09,573737.6
2014-05-10,520871.6
2014-05-11,623587.4
2014-05-12,648694.5
2014-05-13,654519.1
2014-05-14,638417.1
2014-05-15,652025.0
2014-05-16,594931.8
2014-05-17,534618.2
2014-05-18,635172.9
2014-05-19,623620.8
2014-05-20,654927.1
2014-05-21,657743.9
2014-05-22,650447.9
2014-05-23,546722.9
2014-05-24,492966.9
2014-05-25,619653.6
2014-05-26,628730.1
2014-05-27,631818.9
2014-05-28,628651.5
2014-05-29,636855.1
2014-05-30,551655.7
2014-05-31,516418.5
2014-06-01,629057.2
2014-06-02,634457.6
2014-06-03,650862.1
2014-06-04,659962.2
2014-06-05,625332.4
2014-06-06,560681.1
2014-06-07,528769.1
2014-06-08,638931.4
2014-06-09,649555.7
