Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","5101","Eastern Africa","5511","Production","2905","Cereals - Excluding Beer","1961","1961","1000 tonnes","12191","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5101","Eastern Africa","5511","Production","2905","Cereals - Excluding Beer","1962","1962","1000 tonnes","12521","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5101","Eastern Africa","5511","Production","2905","Cereals - Excluding Beer","1963","1963","1000 tonnes","12636","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5101","Eastern Africa","5511","Production","2905","Cereals - Excluding Beer","1964","1964","1000 tonnes","12974","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5101","Eastern Africa","5511","Production","2905","Cereals - Excluding Beer","1965","1965","1000 tonnes","13422","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5101","Eastern Africa","5511","Production","2905","Cereals - Excluding Beer","1966","1966","1000 tonnes","13874","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5101","Eastern Africa","5511","Production","2905","Cereals - Excluding Beer","1967","1967","1000 tonnes","15316","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5101","Eastern Africa","5511","Production","2905","Cereals - Excluding Beer","1968","1968","1000 tonnes","14655","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5101","Eastern Africa","5511","Production","2905","Cereals - Excluding Beer","1969","1969","1000 tonnes","16074","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5101","Eastern Africa","5511","Production","2905","Cereals - Excluding Beer","1970","1970","1000 tonnes","15159","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5101","Eastern Africa","5511","Production","2905","Cereals - Excluding Beer","1971","1971","1000 tonnes","16729","A","Aggregate, may include official, semi-official, estimated or calculated data"
