Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FDI","Foreign Direct Investment (FDI)","35","Cabo Verde","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2009","2009","millions","1","X","International reliable sources","Data from UNCTAD and INTRACEN"
"FDI","Foreign Direct Investment (FDI)","81","Ghana","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2009","2009","millions","95.2","X","International reliable sources","Data from UNCTAD and INTRACEN"
"FDI","Foreign Direct Investment (FDI)","81","Ghana","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2010","2010","millions","297.6","X","International reliable sources","Data from UNCTAD and INTRACEN"
"FDI","Foreign Direct Investment (FDI)","81","Ghana","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2011","2011","millions","510","X","International reliable sources","Data from UNCTAD and INTRACEN"
"FDI","Foreign Direct Investment (FDI)","129","Madagascar","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2009","2009","millions","17.2","X","International reliable sources","Data from UNCTAD and INTRACEN"
"FDI","Foreign Direct Investment (FDI)","129","Madagascar","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2010","2010","millions","16.1","X","International reliable sources","Data from UNCTAD and INTRACEN"
"FDI","Foreign Direct Investment (FDI)","130","Malawi","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2010","2010","millions","11.7","X","International reliable sources","Data from UNCTAD and INTRACEN"
"FDI","Foreign Direct Investment (FDI)","130","Malawi","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2011","2011","millions","21.7","X","International reliable sources","Data from UNCTAD and INTRACEN"
"FDI","Foreign Direct Investment (FDI)","144","Mozambique","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2009","2009","millions","137.9","X","International reliable sources","Data from UNCTAD and INTRACEN"
"FDI","Foreign Direct Investment (FDI)","144","Mozambique","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2010","2010","millions","26.1","X","International reliable sources","Data from UNCTAD and INTRACEN"
"FDI","Foreign Direct Investment (FDI)","226","Uganda","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2009","2009","millions","75.6","X","International reliable sources","Data from UNCTAD and INTRACEN"
"FDI","Foreign Direct Investment (FDI)","226","Uganda","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2010","2010","millions","110","X","International reliable sources","Data from UNCTAD and INTRACEN"
"FDI","Foreign Direct Investment (FDI)","226","Uganda","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2011","2011","millions","79","X","International reliable sources","Data from UNCTAD and INTRACEN"
"FDI","Foreign Direct Investment (FDI)","5101","Eastern Africa","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2009","2009","millions","230.7","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"FDI","Foreign Direct Investment (FDI)","5101","Eastern Africa","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2010","2010","millions","163.9","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"FDI","Foreign Direct Investment (FDI)","5101","Eastern Africa","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2011","2011","millions","100.7","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"FDI","Foreign Direct Investment (FDI)","5105","Western Africa","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2009","2009","millions","96.2","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"FDI","Foreign Direct Investment (FDI)","5105","Western Africa","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2010","2010","millions","297.6","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"FDI","Foreign Direct Investment (FDI)","5105","Western Africa","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2011","2011","millions","510","A","Aggregate, may include official, semi-official, estimated or calculated data",""
