Country,Code,Cig_sold_per_adult_per_day,Year
Armenia,ARM,6.644444359673393,9
Australia,AUS,5.257142861684163,21
Austria,AUT,5.800000031789144,15
Azerbaijan,AZE,3.444444431198968,9
Belarus,BLR,4.8444444338480634,9
Belgium,BEL,6.23636362769387,22
Bulgaria,BGR,7.234782592110012,23
Canada,CAN,4.976190498897007,21
Croatia,HRV,5.980952421824138,21
Czech Republic,CZE,6.245454549789429,22
Czechoslovakia,OWID_CZS,6.399999936421712,3
Denmark,DNK,5.7523809387570335,21
Estonia,EST,5.020000019073486,25
Finland,FIN,4.309999966621399,20
France,FRA,4.7333333151681085,21
Georgia,GEO,6.189999961853028,10
Germany,DEU,5.299999961853027,25
Greece,GRC,9.139130426489789,23
Hungary,HUN,7.013043455455614,23
Iceland,ISL,4.061538457870483,26
Ireland,IRL,5.490909045392817,22
Israel,ISR,4.94399998664856,25
Italy,ITA,5.176190444401333,21
Japan,JPN,7.257692373715914,26
Kazakhstan,KAZ,4.245454549789429,11
Kyrgyzstan,KGZ,4.444444497426351,9
Latvia,LVA,4.188000030517578,25
Lithuania,LTU,4.887999944686889,25
Moldova,MDA,5.0499999046325685,10
Netherlands,NLD,5.739130434782608,23
New Zealand,NZL,3.7799999594688414,20
Norway,NOR,4.595454541119662,22
Poland,POL,7.165217399597168,23
Portugal,PRT,4.991304376850957,23
Romania,ROU,5.012499968210856,24
Russia,RUS,6.213333257039388,15
Slovakia,SVK,6.128571419488816,21
Slovenia,SVN,5.776190451213291,21
Spain,ESP,6.7714285623459585,21
Sweden,SWE,3.2705882296842685,17
Switzerland,CHE,6.754999995231628,20
United Kingdom,GBR,5.051999959945679,25
United States,USA,5.155999994277954,25
Yugoslavia,OWID_YGS,7.666666666666667,3
