nom_carrera;Dones_2017;Homes_2017;Total_2017;Dones_2018;Homes_2018;Total_2018;Dones_2019;Homes_2019;Total_2019
Administració d'Empreses i Gestió de la Innovació;21;42;63;18;42;60;20;43;63
Administració d'Empreses i Gestió de la Innovació (docència en Anglès);8;25;33;10;28;38;8;18;26
Administració d'Empreses i Gestió de la Innovació / Màrqueting i Comunitats Digitals (simultaneïtat);41;31;72;42;28;70;32;28;60
Administració d'Empreses i Gestió de la Innovació / Turisme i Gestió del Lleure (simultaneïtat);35;7;42;23;9;32;17;14;31
Administració i Direcció d'Empreses;927;1.249;2.176;894;1.203;2.097;938;1.188;2.126
Administració i Direcció d'Empreses (docència en Anglès);40;34;74;41;28;69;49;45;94
Administració i Direcció d'Empreses (semipresencial);3;2;5;6;6;12;6;9;15
Administració i Direcció d'Empreses / Dret (simultaneïtat);142;106;248;153;109;262;167;96;263
Administració i Direcció d'Empreses / Economia (simultaneïtat);24;17;41;17;28;45;26;27;53
Administració i Direcció d'Empreses / Enginyeria en Tecnologies Industrials (simultaneïtat);5;9;14;1;18;19;5;12;17
Administració i Direcció d'Empreses / Enginyeria Informàtica (simultaneïtat);4;14;18;1;14;15;0;20;20
Administració i Direcció d'Empreses / Finances i Comptabilitat (simultaneïtat);23;20;43;38;22;60;29;24;53
Administració i Direcció d'Empreses / Màrqueting i Comunicació Digital (simultaneïtat);;;;12;10;22;15;15;30
Administració i Direcció d'Empreses / Matemàtiques (simultaneïtat);15;15;30;18;20;38;19;15;34
Administració i Direcció d'Empreses / Sociologia (simultaneïtat);;;;;;;14;10;24
Administració i Direcció d'Empreses / Tècniques de Desenvolupament d'Aplicacions Web i Mòbils (simultaneïtat);;;;;;;1;9;10
Administració i Direcció d'Empreses / Turisme (simultaneïtat);18;4;22;12;9;21;22;8;30
Anglès;30;15;45;45;11;56;39;12;51
Antropologia i Evolució Humana (virtual o semipresencial);42;33;75;39;27;66;41;31;72
Antropologia Social i Cultural;177;87;264;147;61;208;153;55;208
Arqueologia;71;64;135;65;46;111;46;39;85
Arquitectura;20;19;39;12;28;40;18;23;41
Arquitectura Tècnica i Edificació;36;73;109;38;71;109;56;74;130
Arquitectura Tècnica i Edificació (semipresencial);;;;;;;1;4;5
Arquitectura, Estudis d';250;290;540;294;271;565;347;271;618
Arquitectura, Estudis d' (Febrer);11;16;27;;;;;;
Arts Escèniques;37;10;47;32;10;42;30;6;36
Arts i Disseny;78;20;98;61;18;79;45;19;64
Audiovisual i multimèdia;49;30;79;;;;;;
Belles Arts;286;82;368;271;96;367;320;69;389
Bioinformàtica (docència en Anglès);18;15;33;14;14;28;15;18;33
Biologia;274;156;430;302;195;497;268;171;439
Biologia / Biotecnologia (simultaneïtat);22;13;35;10;8;18;12;6;18
Biologia / Ciències Ambientals (simultaneïtat);17;15;32;16;10;26;16;16;32
Biologia Ambiental;46;36;82;75;51;126;66;48;114
Biologia Humana;76;16;92;69;23;92;64;15;79
Bioquímica;122;63;185;92;43;135;105;45;150
Bioquímica i Biologia Molecular;48;14;62;56;12;68;49;11;60
Bioquímica i Biologia Molecular / Biotecnologia (simultaneïtat);27;13;40;27;14;41;25;20;45
Biotecnologia;300;148;448;242;179;464;254;154;408
Biotecnologia / Enginyeria Informàtica (simultaneïtat);4;4;8;7;13;20;6;11;17
Ciència i Enginyeria de Dades;29;54;83;27;59;86;25;55;80
Ciència i Producció Animal / Veterinària (simultaneïtat);127;46;173;88;34;122;90;21;111
Ciència i Tecnologia dels Aliments;115;77;192;72;56;182;92;54;146
Ciència Política i Gestió Pública;47;89;136;55;75;130;38;49;87
Ciència Política i Gestió Pública / Dret (simultaneïtat);21;17;38;21;19;40;16;17;33
Ciència Política i Gestió Pública / Sociologia (simultaneïtat);;;;27;25;52;16;18;34
Ciències Ambientals;76;92;168;100;112;212;104;109;213
Ciències Ambientals / Geologia (simultaneïtat);11;15;26;15;22;37;14;17;31
Ciències Biomèdiques;329;98;427;343;96;439;341;97;438
Ciències Culinàries i Gastronòmiques;24;19;43;19;33;52;20;22;42
Ciències de l'Activitat Física i de l'Esport;114;501;615;131;506;647;124;492;616
Ciències de l'Activitat Física i de l'Esport / Educació Primària (simultaneïtat);10;22;32;17;15;32;7;21;28
Ciències de l'Activitat Física i de l'Esport / Fisioteràpia (simultaneïtat);44;87;131;41;72;113;35;62;97
Ciències de l'Antiguitat;;;;44;19;63;39;11;50
Ciències del Mar;49;33;82;56;36;92;69;37;106
Ciències Empresarials - Management;91;68;159;121;64;185;87;71;158
Ciències i Tecnologies Aplicades a l'Esport i al Fitnes;;;;6;41;47;9;54;63
Ciències i Tecnologies del Mar;;;;13;16;29;27;27;54
Ciències Polítiques i de l'Administració;129;186;315;166;217;383;155;198;353
Ciències Polítiques i de l'Administració / Dret (simultaneïtat);24;26;50;28;32;60;33;25;58
Cinema i Mitjans Audiovisuals;50;81;131;;;;;;
Cinematografia;;;;67;99;166;98;96;194
Comptabilitat i Finances;104;89;193;128;111;239;111;131;242
Comunicació Audiovisual;333;179;512;342;223;565;353;198;551
Comunicació Audiovisual / Gestió d'Informació i Documentació Digital (simultaneïtat);;;;;;;16;6;22
Comunicació Audiovisual / Informació i Documentació (Simultaneïtat);22;11;33;19;10;29;;;
