Año;País;PIB anual;Var. PIB (%);PIB Per Capita;Var. anual PIB Per Capita;Deuda total (M.€);Deuda (%PIB);Deuda Per Cápita
2019;Francia;2.425.708M.€;1,5%;35.960,00 €;2,5%;2.380.106;98,10%;35.472,00 €
2018;Francia;2.360.687M.€;1,8%;35.100,00 €;2,5%;2.314.883;98,10%;34.544,00 €
2017;Francia;2.297.242M.€;2,3%;34.250,00 €;2,5%;2.258.617;98,30%;33.752,00 €
2016;Francia;2.234.129M.€;1,1%;33.430,00 €;1,2%;2.188.481;98,00%;32.757,00 €
2015;Francia;2.198.432M.€;1,1%;33.020,00 €;1,9%;2.101.255;95,60%;31.532,00 €
2014;Francia;2.149.765M.€;1,0%;32.420,00 €;1,1%;2.039.884;94,90%;30.694,00 €
2013;Francia;2.117.189M.€;0,6%;32.080,00 €;0,8%;1.977.734;93,40%;29.891,00 €
2012;Francia;2.088.804M.€;0,3%;31.820,00 €;1,0%;1.892.540;90,60%;28.850,00 €
2011;Francia;2.058.369M.€;2,2%;31.510,00 €;2,7%;1.807.957;87,80%;27.697,00 €
2010;Francia;1.995.289M.€;1,9%;30.690,00 €;2,5%;1.701.122;85,30%;26.180,00 €
2009;Francia;1.936.422M.€;-2,9%;29.930,00 €;-3,3%;1.607.983;83,00%;24.869,00 €
2008;Francia;1.992.380M.€;0,3%;30.960,00 €;2,1%;1.370.326;68,80%;21.295,00 €
2007;Francia;1.941.360M.€;2,4%;30.330,00 €;4,4%;1.252.867;64,50%;19.574,00 €
2006;Francia;1.848.151M.€;2,4%;29.050,00 €;3,9%;1.194.106;64,60%;18.762,00 €
2005;Francia;1.765.905M.€;1,7%;27.960,00 €;2,9%;1.189.919;67,40%;18.819,00 €
2004;Francia;1.704.019M.€;2,8%;27.180,00 €;3,7%;1.123.615;65,90%;17.900,00 €
2003;Francia;1.630.666M.€;0,8%;26.200,00 €;2,0%;1.050.356;64,40%;16.862,00 €
2002;Francia;1.587.829M.€;1,1%;25.690,00 €;2,5%;956.794;60,30%;15.466,00 €
2001;Francia;1.538.200M.€;2,0%;25.070,00 €;3,3%;897.446;58,30%;14.611,00 €
2000;Francia;1.478.585M.€;3,9%;24.280,00 €;4,8%;870.626;58,90%;14.277,00 €
1999;Francia;1.400.999M.€;3,4%;23.160,00 €;3,8%;847.555;60,50%;13.999,00 €
1998;Francia;1.343.327M.€;3,6%;22.320,00 €;4,4%;829.353;61,30%;13.786,00 €
1997;Francia;1.282.410M.€;2,3%;21.390,00 €;1,0%;787.775;61,40%;13.144,00 €
1996;Francia;1.265.105M.€;1,4%;21.180,00 €;3,0%;751.070;60,00%;12.575,00 €
