Año;País;PIB anual;Var. PIB (%);PIB Per Capita;Var. anual PIB Per Capita;Deuda total (M.€);Deuda (%PIB);Deuda Per Cápita
2019;Alemania;3.435.210M.€;0,6%;41.350,00 €;2,5%;2.053.033;59,80%;24.686,00 €
2018;Alemania;3.344.370M.€;1,5%;40.340,00 €;2,8%;2.068.562;61,90%;24.917,00 €
2017;Alemania;3.244.990M.€;2,5%;39.260,00 €;3,2%;2.118.669;65,30%;25.590,00 €
2016;Alemania;3.134.100M.€;2,2%;38.060,00 €;2,6%;2.168.989;69,20%;26.284,00 €
2015;Alemania;3.030.070M.€;1,7%;37.090,00 €;2,6%;2.185.113;72,10%;26.591,00 €
2014;Alemania;2.927.430M.€;2,2%;36.150,00 €;3,7%;2.215.168;75,70%;27.281,00 €
2013;Alemania;2.811.350M.€;0,4%;34.860,00 €;2,1%;2.213.009;78,70%;27.400,00 €
2012;Alemania;2.745.310M.€;0,4%;34.130,00 €;1,7%;2.227.419;81,10%;27.662,00 €
2011;Alemania;2.693.560M.€;3,9%;33.550,00 €;5,0%;2.149.489;79,80%;26.759,00 €
2010;Alemania;2.564.400M.€;4,2%;31.940,00 €;5,1%;2.112.595;82,40%;26.334,00 €
2009;Alemania;2.445.730M.€;-5,7%;30.390,00 €;-3,6%;1.785.141;73,00%;21.823,00 €
2008;Alemania;2.546.490M.€;1,0%;31.530,00 €;2,2%;1.668.517;65,50%;20.347,00 €
2007;Alemania;2.499.550M.€;3,0%;30.860,00 €;5,0%;1.599.568;64,00%;19.455,00 €
2006;Alemania;2.385.080M.€;3,8%;29.380,00 €;4,4%;1.590.959;66,70%;19.328,00 €
2005;Alemania;2.288.310M.€;0,7%;28.130,00 €;1,3%;1.541.097;67,30%;18.694,00 €
2004;Alemania;2.262.520M.€;1,2%;27.780,00 €;2,4%;1.470.360;65,00%;17.822,00 €
2003;Alemania;2.211.570M.€;-0,7%;27.120,00 €;0,6%;1.400.121;63,30%;16.965,00 €
2002;Alemania;2.198.120M.€;-0,2%;26.950,00 €;1,1%;1.312.355;59,70%;15.900,00 €
2001;Alemania;2.172.540M.€;1,7%;26.650,00 €;2,9%;1.258.694;57,90%;15.268,00 €
2000;Alemania;2.109.090M.€;2,9%;25.890,00 €;2,4%;1.245.750;59,10%;15.144,00 €
1999;Alemania;2.059.480M.€;1,9%;25.290,00 €;2,9%;1.238.559;60,10%;15.074,00 €
1998;Alemania;2.000.816M.€;2,0%;24.570,00 €;2,6%;1.199.279;59,50%;14.619,00 €
1997;Alemania;1.952.618M.€;1,8%;23.960,00 €;-0,8%;1.142.493;58,90%;13.923,00 €
1996;Alemania;1.967.956M.€;0,8%;24.160,00 €;-0,7%;1.115.747;57,80%;13.605,00 €
