Año;País;PIB anual;Var. PIB (%);PIB Per Capita;Var. anual PIB Per Capita;Deuda total (M.€);Deuda (%PIB);Deuda Per Cápita
2019;Italia;1.787.664M.€;0,3%;29.610,00 €;1,4%;2.409.841;134,80%;40.001,00 €
2018;Italia;1.766.168M.€;0,8%;29.210,00 €;1,8%;2.380.942;134,80%;39.446,00 €
2017;Italia;1.736.593M.€;1,7%;28.690,00 €;2,6%;2.329.553;134,10%;38.515,00 €
2016;Italia;1.695.787M.€;1,3%;27.970,00 €;2,6%;2.285.619;134,80%;37.723,00 €
2015;Italia;1.655.355M.€;0,8%;27.260,00 €;1,8%;2.239.409;135,30%;36.914,00 €
2014;Italia;1.627.406M.€;0%;26.770,00 €;0,7%;2.202.997;135,40%;36.236,00 €
2013;Italia;1.612.751M.€;-1,8%;26.590,00 €;-1,2%;2.136.226;132,50%;35.145,00 €
2012;Italia;1.624.359M.€;-3,0%;26.920,00 €;-1,9%;2.054.753;126,50%;34.426,00 €
2011;Italia;1.648.756M.€;0,7%;27.450,00 €;1,9%;1.973.483;119,70%;33.227,00 €
2010;Italia;1.611.279M.€;1,7%;26.930,00 €;1,7%;1.920.661;119,20%;32.354,00 €
2009;Italia;1.577.256M.€;-5,3%;26.470,00 €;-4,2%;1.839.115;116,60%;31.071,00 €
2008;Italia;1.637.699M.€;-1,0%;27.640,00 €;0,6%;1.738.520;106,20%;29.466,00 €
2007;Italia;1.614.840M.€;1,5%;27.470,00 €;3,4%;1.677.700;103,90%;28.604,00 €
2006;Italia;1.552.687M.€;1,8%;26.570,00 €;3,5%;1.657.384;106,70%;28.466,00 €
2005;Italia;1.493.635M.€;0,8%;25.670,00 €;2,2%;1.591.581;106,60%;27.411,00 €
2004;Italia;1.452.319M.€;1,4%;25.110,00 €;3,4%;1.526.401;105,10%;26.374,00 €
2003;Italia;1.394.693M.€;0,1%;24.290,00 €;2,7%;1.471.326;105,50%;25.590,00 €
2002;Italia;1.350.259M.€;0,3%;23.650,00 €;3,3%;1.436.142;106,40%;25.138,00 €
2001;Italia;1.304.137M.€;2,0%;22.890,00 €;5,0%;1.420.028;108,90%;24.918,00 €
2000;Italia;1.241.513M.€;3,8%;21.800,00 €;5,6%;1.353.569;109,00%;23.763,00 €
1999;Italia;1.175.150M.€;1,6%;20.650,00 €;3,6%;1.331.321;113,30%;23.388,00 €
1998;Italia;1.134.535M.€;1,8%;19.940,00 €;3,5%;1.299.741;114,10%;22.839,00 €
1997;Italia;1.096.302M.€;1,8%;19.270,00 €;6,0%;1.271.894;116,80%;22.351,00 €
1996;Italia;1.033.760M.€;1,3%;18.180,00 €;15,1%;1.260.410;119,10%;22.161,00 €
