,Year,Country,Anual GDP (M.€),Var. GDP(%),GDP Per Capita (m.€),Var. GDPxC(%),Total Debt (M.€),Var. TDebt(%),Debt (% GDP),Var. Debt (% GDP),Debt Per Capita (m.€),Var. DebtxC (%)
23,1996,France,1265105000000.0,,21180.0,,751070000000.0,,60.0,,12575.0,
22,1997,France,1282410000000.0,0.013678706510526828,21390.0,0.009915014164305846,787775000000.0,0.048870278402811884,61.4,0.023333333333333206,13144.0,0.04524850894632215
21,1998,France,1343327000000.0,0.04750196894908809,22320.0,0.04347826086956519,829353000000.0,0.052779029545238165,61.3,-0.0016286644951140072,13786.0,0.04884357881923318
20,1999,France,1400999000000.0,0.04293221233549249,23160.0,0.037634408602150504,847555000000.0,0.02194722874336974,60.5,-0.013050570962479524,13999.0,0.015450456985347527
19,2000,France,1478585000000.0,0.05537905451752634,24280.0,0.04835924006908465,870626000000.0,0.027220652347045293,58.9,-0.026446280991735516,14277.0,0.019858561325808877
18,2001,France,1538200000000.0,0.04031895359414572,25070.0,0.03253706754530472,897446000000.0,0.03080542046757162,58.3,-0.01018675721561968,14611.0,0.023394270505008086
17,2002,France,1587829000000.0,0.032264334936939365,25690.0,0.02473075388911039,956794000000.0,0.06612988413787568,60.3,0.03430531732418518,15466.0,0.05851755526657998
16,2003,France,1630666000000.0,0.02697834590500614,26200.0,0.01985208252238224,1050356000000.0,0.09778698445015332,64.4,0.06799336650082943,16862.0,0.09026251131514296
15,2004,France,1704019000000.0,0.04498346074548687,27180.0,0.037404580152671674,1123615000000.0,0.06974682869427129,65.9,0.02329192546583858,17900.0,0.061558533981734165
14,2005,France,1765905000000.0,0.0363176701668233,27960.0,0.028697571743929284,1189919000000.0,0.059009536184547295,67.4,0.022761760242792084,18819.0,0.05134078212290505
13,2006,France,1848151000000.0,0.0465744193487192,29050.0,0.038984263233190264,1194106000000.0,0.0035187269049405945,64.6,-0.04154302670623167,18762.0,-0.003028853817949928
12,2007,France,1941360000000.0,0.05043364963144237,30330.0,0.04406196213425129,1252867000000.0,0.049209199183322117,64.5,-0.001547987616098978,19574.0,0.04327896812706533
11,2008,France,1992380000000.0,0.026280545596901073,30960.0,0.020771513353115667,1370326000000.0,0.09375217002283565,68.8,0.06666666666666665,21295.0,0.08792275467456823
10,2009,France,1936422000000.0,-0.028086007689296255,29930.0,-0.033268733850129184,1607983000000.0,0.17343099379271787,83.0,0.20639534883720945,24869.0,0.16783282460671511
9,2010,France,1995289000000.0,0.030399881843936827,30690.0,0.025392582692950194,1701122000000.0,0.05792287605030655,85.3,0.027710843373493832,26180.0,0.05271623306124096
8,2011,France,2058369000000.0,0.03161446787908928,31510.0,0.02671880091234935,1807957000000.0,0.06280266788625388,87.8,0.029308323563892236,27697.0,0.057944996180290254
7,2012,France,2088804000000.0,0.014785978607334327,31820.0,0.009838146620120503,1892540000000.0,0.04678374540987429,90.6,0.03189066059225509,28850.0,0.04162905729862443
6,2013,France,2117189000000.0,0.013589116068333906,32080.0,0.00817096165933373,1977734000000.0,0.04501569319538823,93.4,0.030905077262693315,29891.0,0.03608318890814566
5,2014,France,2149765000000.0,0.015386439283408437,32420.0,0.010598503740648413,2039884000000.0,0.03142485288719321,94.9,0.016059957173447437,30694.0,0.026864273527148708
4,2015,France,2198432000000.0,0.022638288371054527,33020.0,0.018507094386181366,2101255000000.0,0.030085534275478443,95.6,0.007376185458377149,31532.0,0.027301752785560796
3,2016,France,2234129000000.0,0.016237481987161795,33430.0,0.012416717141126687,2188481000000.0,0.04151138248332553,98.0,0.025104602510460206,32757.0,0.038849422808575396
2,2017,France,2297242000000.0,0.028249487831723208,34250.0,0.024528866287765405,2258617000000.0,0.03204779936403379,98.3,0.003061224489795844,33752.0,0.030375186982934954
1,2018,France,2360687000000.0,0.027617900073218182,35100.0,0.02481751824817513,2314883000000.0,0.024911704817594194,98.1,-0.0020345879959308144,34544.0,0.02346527613178484
0,2019,France,2425708000000.0,0.02754325329872187,35960.0,0.024501424501424562,2380106000000.0,0.028175506062293465,98.1,0.0,35472.0,0.026864289022695775
