,Year,Country,Anual GDP (M.€),Var. GDP(%),GDP Per Capita (m.€),Var. GDPxC(%),Total Debt (M.€),Var. TDebt(%),Debt (% GDP),Var. Debt (% GDP),Debt Per Capita (m.€),Var. DebtxC (%)
71,1996,Germany,1967956000000.0,,24160.0,,1115747000000.0,,57.8,,13605.0,
70,1997,Germany,1952618000000.0,-0.007793873440259835,23960.0,-0.008278145695364225,1142493000000.0,0.023971384193728573,58.9,0.01903114186851207,13923.0,0.023373759647188574
69,1998,Germany,2000816000000.0,0.024683783515260016,24570.0,0.025459098497495836,1199279000000.0,0.04970358680534592,59.5,0.01018675721561979,14619.0,0.04998922645981474
68,1999,Germany,2059480000000.0,0.02932003742473066,25290.0,0.0293040293040292,1238559000000.0,0.03275301243497131,60.1,0.010084033613445342,15074.0,0.031123879882344996
67,2000,Germany,2109090000000.0,0.024088604890554866,25890.0,0.023724792408066353,1245750000000.0,0.005805940613244909,59.1,-0.016638935108153063,15144.0,0.004643757463181686
66,2001,Germany,2172540000000.0,0.03008406469140712,26650.0,0.029354963306295945,1258694000000.0,0.010390527794501336,57.9,-0.020304568527918843,15268.0,0.008188061278393999
65,2002,Germany,2198120000000.0,0.011774236607841493,26950.0,0.011257035647279645,1312355000000.0,0.04263228393874918,59.7,0.031088082901554515,15900.0,0.0413937647367042
64,2003,Germany,2211570000000.0,0.006118865212090263,27120.0,0.00630797773654912,1400121000000.0,0.06687672161876934,63.3,0.06030150753768826,16965.0,0.06698113207547163
63,2004,Germany,2262520000000.0,0.023037932328617172,27780.0,0.02433628318584069,1470360000000.0,0.050166378477288776,65.0,0.026856240126382325,17822.0,0.050515767757147056
62,2005,Germany,2288310000000.0,0.01139879426480217,28130.0,0.012598992080633531,1541097000000.0,0.04810862645882641,67.3,0.03538461538461535,18694.0,0.04892829087644479
61,2006,Germany,2385080000000.0,0.042288850723896765,29380.0,0.044436544614290696,1590959000000.0,0.03235487448226815,66.7,-0.008915304606240682,19328.0,0.03391462501337328
60,2007,Germany,2499550000000.0,0.04799419725963072,30860.0,0.05037440435670515,1599568000000.0,0.00541120167144471,64.0,-0.040479760119940034,19455.0,0.0065707781456953995
59,2008,Germany,2546490000000.0,0.01877938028845194,31530.0,0.0217109526895658,1668517000000.0,0.043104763286087255,65.5,0.0234375,20347.0,0.04584939604214844
58,2009,Germany,2445730000000.0,-0.039568189939877985,30390.0,-0.03615604186489063,1785141000000.0,0.06989680057200487,73.0,0.11450381679389321,21823.0,0.07254140659556696
57,2010,Germany,2564400000000.0,0.04852130038884095,31940.0,0.05100361961171429,2112595000000.0,0.18343312937185363,82.4,0.12876712328767126,26334.0,0.20670851853549
56,2011,Germany,2693560000000.0,0.050366557479332386,33550.0,0.05040701314965568,2149489000000.0,0.01746383002894536,79.8,-0.031553398058252524,26759.0,0.016138831928305564
55,2012,Germany,2745310000000.0,0.019212492017998573,34130.0,0.01728763040238457,2227419000000.0,0.03625512854450519,81.1,0.016290726817042467,27662.0,0.03374565566725218
54,2013,Germany,2811350000000.0,0.02405557113768575,34860.0,0.021388807500732465,2213009000000.0,-0.00646937105232559,78.7,-0.0295930949445129,27400.0,-0.009471477116622107
53,2014,Germany,2927430000000.0,0.04128977181781002,36150.0,0.037005163511187655,2215168000000.0,0.0009755947671248322,75.7,-0.03811944091486663,27281.0,-0.004343065693430681
52,2015,Germany,3030070000000.0,0.03506147029988771,37090.0,0.026002766251728815,2185113000000.0,-0.013567819686813865,72.1,-0.047556142668428114,26591.0,-0.025292327993841845
51,2016,Germany,3134100000000.0,0.03433254017233933,38060.0,0.02615260177945533,2168989000000.0,-0.007379023418926156,69.2,-0.040221914008321646,26284.0,-0.011545259674325847
50,2017,Germany,3244990000000.0,0.03538176829073736,39260.0,0.03152916447714138,2118669000000.0,-0.02319974882306919,65.3,-0.0563583815028903,25590.0,-0.026403895906254804
49,2018,Germany,3344370000000.0,0.030625672190053077,40340.0,0.027508914926133388,2068562000000.0,-0.0236502256841441,61.9,-0.052067381316998396,24917.0,-0.026299335677999247
48,2019,Germany,3435210000000.0,0.02716206639815577,41350.0,0.02503718393653931,2053033000000.0,-0.007507147477329612,59.8,-0.03392568659127626,24686.0,-0.009270778986234296
