Year;Country;National Average Salary
2019;Spain;27537
2018;Spain;26922
2017;Spain;26550
2016;Spain;26449
2015;Spain;26475
2014;Spain;26191
2013;Spain;26027
2012;Spain;25894
2011;Spain;25515
2010;Spain;24786
2009;Spain;24164
2008;Spain;23252
2007;Spain;21989
2006;Spain;21168
2005;Spain;20616
2004;Spain;20045
2003;Spain;19385
2002;Spain;18601
2001;Spain;17919
2000;Spain;17319
2019;UK;46485
2018;UK;44669
2017;UK;43940
2016;UK;45275
2015;UK;49567
2014;UK;43567
2013;UK;41316
2012;UK;42996
2011;UK;39272
2010;UK;39981
2009;UK;37478
2008;UK;41922
2007;UK;48537
2006;UK;46087
2005;UK;44361
2004;UK;43191
2003;UK;40490
2002;UK;42689
2001;UK;41637
2000;UK;40871
2019;Germany;52185
2018;Germany;50700
2017;Germany;49100
2016;Germany;48300
2015;Germany;47100
2014;Germany;45970
2013;Germany;44900
2012;Germany;44400
2011;Germany;43300
2010;Germany;41736
2009;Germany;40600
2008;Germany;41000
2007;Germany;40100
2006;Germany;39149
2005;Germany;38700
2004;Germany;38100
2003;Germany;37200
2002;Germany;36400
2001;Germany;35200
2000;Germany;34400
2019;Italy;31602
2018;Italy;31050
2017;Italy;30696
2016;Italy;30619
2015;Italy;30550
2014;Italy;30347
2013;Italy;29983
2012;Italy;29440
2011;Italy;28872
2010;Italy;28243
2009;Italy;27419
2008;Italy;26845
2007;Italy;25805
2006;Italy;25241
2005;Italy;24450
2004;Italy;23723
2003;Italy;23113
2002;Italy;22640
2001;Italy;22182
2000;Italy;21550
2019;France;36547
2018;France;36319
2017;France;35707
2016;France;35052
2015;France;34746
2014;France;37235
2013;France;36616
2012;France;36143
2011;France;35489
2010;France;34693
2009;France;34132
2008;France;33580
2007;France;32413
2006;France;31369
2005;France;30521
2004;France;29608
2003;France;28847
2002;France;28185
2001;France;27418
2000;France;26712
