Año;País;PIB anual;Var. PIB (%);PIB Per Capita;Var. anual PIB Per Capita;Deuda total (M.€);Deuda (%PIB);Deuda Per Cápita
2019;España;1.244.757M.€;2,0%;26.430,00 €;2,6%;1.188.859;95,50%;25.119 €
2018;España;1.202.193M.€;2,4%;25.770,00 €;3,2%;1.173.350;97,40%;24.998 €
2017;España;1.161.878M.€;2,9%;24.970,00 €;4,1%;1.145.097;98,60%;24.542 €
2016;España;1.113.840M.€;3,0%;23.980,00 €;3,3%;1.104.554;99,20%;23.740 €
2015;España;1.077.590M.€;3,8%;23.220,00 €;1,9%;1.070.079;99,30%;23.042 €
2014;España;1.032.158M.€;1,4%;22.780,00 €;1,2%;1.039.388;100,70%;22.377 €
2013;España;1.020.348M.€;-1,4%;22.518,00 €;-0,2%;978.272;95,80%;21.033 €
2012;España;1.031.099M.€;-3,0%;22.562,00 €;-0,9%;890.726;86,30%;19.062 €
2011;España;1.063.763M.€;-0,8%;22.760,00 €;-1,2%;743.530;69,90%;15.881 €
2010;España;1.072.709M.€;0,2%;23.040,00 €;-0,1%;649.259;60,50%;13.913 €
2009;España;1.069.323M.€;-3,8%;23.060,00 €;-4,4%;568.700;53,30%;12.234 €
2008;España;1.109.541M.€;0,9%;24.130,00 €;1,5%;439.771;39,70%;9.511 €
2007;España;1.075.539M.€;3,6%;23.780,00 €;5,1%;383.798;35,80%;8.404 €
2006;España;1.003.823M.€;4,1%;22.630,00 €;6,5%;392.168;39,10%;8.757 €
2005;España;927.357M.€;3,7%;21.240,00 €;5,9%;393.479;42,40%;8.941 €
2004;España;859.437M.€;3,1%;20.050,00 €;5,5%;389.888;45,40%;9.005 €
2003;España;802.266M.€;3,0%;19.010,00 €;5,1%;382.775;47,70%;8.996 €
2002;España;749.552M.€;2,7%;18.090,00 €;5,2%;384.145;51,20%;9.184 €
2001;España;700.993M.€;3,9%;17.200,00 €;7,7%;378.883;54,00%;9.233 €
2000;España;647.851M.€;5,2%;15.970,00 €;8,2%;374.557;57,80%;9.211 €
1999;España;595.723M.€;4,5%;14.760,00 €;7,3%;362.223;60,80%;8.950 €
1998;España;555.993M.€;4,4%;13.760,00 €;5,9%;346.417;62,30%;8.595 €
1997;España;519.268M.€;3,7%;13.000,00 €;2,4%;333.627;64,20%;8.311 €
1996;España;489.203M.€;2,7%;12.700,00 €;7,3%;319.976;65,40%;8.005 €
