Año;País;PIB anual;Var. PIB (%);PIB Per Capita;Var. anual PIB Per Capita;Deuda total (M.€);Deuda (%PIB);Deuda Per Cápita
2019;Reino Unido;2.523.313M.€;1,4%;37.760,00 €;3,5%;2.223.544;85,40%;33.175,00 €
2018;Reino Unido;2.423.737M.€;1,3%;36.480,00 €;2,0%;2.054.922;85,70%;30.833,00 €
2017;Reino Unido;2.363.109M.€;1,9%;35.780,00 €;-3,5%;2.013.812;86,20%;30.386,00 €
2016;Reino Unido;2.435.055M.€;1,9%;37.090,00 €;-8,6%;2.022.759;86,80%;30.720,00 €
2015;Reino Unido;2.640.935M.€;2,4%;40.560,00 €;13,4%;2.270.219;86,90%;34.724,00 €
2014;Reino Unido;2.309.785M.€;2,6%;35.760,00 €;9,3%;2.060.438;86,20%;31.771,00 €
2013;Reino Unido;2.098.426M.€;2,1%;32.730,00 €;-1,3%;1.798.955;84,20%;27.955,00 €
2012;Reino Unido;2.111.708M.€;1,5%;33.150,00 €;9,7%;1.745.862;83,20%;27.320,00 €
2011;Reino Unido;1.912.458M.€;1,5%;30.220,00 €;1,6%;1.590.781;80,10%;25.054,00 €
2010;Reino Unido;1.867.396M.€;1,9%;29.750,00 €;6,6%;1.387.555;74,60%;22.017,00 €
2009;Reino Unido;1.737.000M.€;-4,2%;27.900,00 €;-13,6%;1.103.251;63,30%;17.649,00 €
2008;Reino Unido;1.996.698M.€;-0,3%;32.300,00 €;-12,5%;824.108;49,40%;13.283,00 €
2007;Reino Unido;2.264.695M.€;2,4%;36.930,00 €;3,8%;877.421;41,50%;14.250,00 €
2006;Reino Unido;2.163.500M.€;2,8%;35.570,00 €;5,2%;888.713;40,50%;14.552,00 €
2005;Reino Unido;2.041.933M.€;3,2%;33.800,00 €;4,2%;806.349;39,60%;13.302,00 €
2004;Reino Unido;1.945.198M.€;2,4%;32.450,00 €;6,5%;718.657;38,40%;11.941,00 €
2003;Reino Unido;1.817.185M.€;3,3%;30.470,00 €;-4,5%;632.117;35,40%;10.572,00 €
2002;Reino Unido;1.893.359M.€;2,3%;31.890,00 €;2,9%;625.646;34,20%;10.515,00 €
2001;Reino Unido;1.832.343M.€;3,0%;31.000,00 €;1,5%;637.004;34,00%;10.753,00 €
2000;Reino Unido;1.797.682M.€;3,4%;30.530,00 €;13,5%;645.943;36,80%;10.948,00 €
1999;Reino Unido;1.578.606M.€;3,4%;26.900,00 €;6,8%;660.660;39,50%;11.239,00 €
1998;Reino Unido;1.472.989M.€;3,6%;25.190,00 €;6,8%;578.654;41,00%;9.878,00 €
1997;Reino Unido;1.375.538M.€;3,9%;23.590,00 €;23,1%;617.681;43,20%;10.578,00 €
1996;Reino Unido;1.114.826M.€;2,5%;19.170,00 €;8,4%;542.885;44,10%;9.322,00 €
