Year;Country;Unemployment Rate (%)
2019;Spain;13.96%
2018;Spain;15.26%
2017;Spain;17.22%
2016;Spain;19.64%
2015;Spain;22.06%
2014;Spain;24.44%
2013;Spain;26.09%
2012;Spain;24.79%
2011;Spain;21.39%
2010;Spain;19.86%
2009;Spain;17.86%
2008;Spain;11.25%
2007;Spain;8.23%
2006;Spain;8.45%
2005;Spain;9.15%
2004;Spain;11.09%
2003;Spain;11.28%
2002;Spain;11.15%
2001;Spain;10.35%
2000;Spain;13.79%
1999;Spain;15.48%
1998;Spain;18.67%
1997;Spain;20.70%
1996;Spain;22.14%
2019;Italy;9.89%
2018;Italy;10.61%
2017;Italy;11.21%
2016;Italy;11.69%
2015;Italy;11.90%
2014;Italy;12.68%
2013;Italy;12.15%
2012;Italy;10.66%
2011;Italy;8.36%
2010;Italy;8.36%
2009;Italy;7.75%
2008;Italy;6.72%
2007;Italy;6.08%
2006;Italy;6.78%
2005;Italy;7.73%
2004;Italy;7.87%
2003;Italy;8.87%
2002;Italy;9.21%
2001;Italy;9.60%
2000;Italy;10.84%
1999;Italy;11.69%
1998;Italy;12.12%
1997;Italy;12.00%
1996;Italy;11.87%
2019;France;8.43%
2018;France;9.06%
2017;France;9.40%
2016;France;10.06%
2015;France;10.36%
2014;France;10.29%
2013;France;9.92%
2012;France;9.40%
2011;France;8.81%
2010;France;8.87%
2009;France;8.74%
2008;France;7.06%
2007;France;7.66%
2006;France;8.45%
2005;France;8.49%
2004;France;8.91%
2003;France;8.31%
2002;France;8.70%
2001;France;8.61%
2000;France;10.22%
1999;France;11.98%
1998;France;12.08%
1997;France;12.57%
1996;France;12.37%
2019;UK;3.85%
2018;UK;4.00%
2017;UK;4.34%
2016;UK;4.81%
2015;UK;5.30%
2014;UK;6.11%
2013;UK;7.53%
2012;UK;7.89%
2011;UK;8.04%
2010;UK;7.79%
2009;UK;7.54%
2008;UK;5.62%
2007;UK;5.26%
2006;UK;5.35%
2005;UK;4.75%
2004;UK;4.59%
2003;UK;4.81%
2002;UK;5.04%
2001;UK;4.70%
2000;UK;5.56%
1999;UK;6.04%
1998;UK;6.20%
1997;UK;7.07%
1996;UK;8.19%
2019;Germany;3.04%
2018;Germany;3.38%
2017;Germany;3.75%
2016;Germany;4.12%
2015;Germany;4.62%
2014;Germany;4.98%
2013;Germany;5.23%
2012;Germany;5.38%
2011;Germany;5.82%
2010;Germany;6.97%
2009;Germany;7.74%
2008;Germany;7.52%
2007;Germany;8.66%
2006;Germany;10.25%
2005;Germany;11.17%
2004;Germany;10.73%
2003;Germany;9.78%
2002;Germany;8.48%
2001;Germany;7.77%
2000;Germany;7.92%
1999;Germany;8.86%
1998;Germany;9.79%
1997;Germany;9.86%
1996;Germany;8.83%
