"TIME","GEO","SEX","CATEGORY","NACE_R2","AGE","UNIT","Value"
"2010","European Union - 27 countries (from 2020)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","38,068.0"
"2011","European Union - 27 countries (from 2020)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","38,304.2"
"2012","European Union - 27 countries (from 2020)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","39,357.5"
"2013","European Union - 27 countries (from 2020)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","40,051.1"
"2014","European Union - 27 countries (from 2020)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","41,372.5"
"2015","European Union - 27 countries (from 2020)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","42,612.2"
"2016","European Union - 27 countries (from 2020)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","43,810.3"
"2017","European Union - 27 countries (from 2020)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","45,038.7"
"2018","European Union - 27 countries (from 2020)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","46,299.5"
"2019","European Union - 27 countries (from 2020)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","47,578.3"
"2010","European Union - 28 countries (2013-2020)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","44,405.8"
"2011","European Union - 28 countries (2013-2020)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","45,525.6"
"2012","European Union - 28 countries (2013-2020)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","46,753.2"
"2013","European Union - 28 countries (2013-2020)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","47,773.2"
"2014","European Union - 28 countries (2013-2020)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","49,328.6"
"2015","European Union - 28 countries (2013-2020)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","50,774.8"
"2016","European Union - 28 countries (2013-2020)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","52,258.6"
"2017","European Union - 28 countries (2013-2020)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","53,647.4"
"2018","European Union - 28 countries (2013-2020)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","55,166.9"
"2019","European Union - 28 countries (2013-2020)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","56,793.5"
"2010","European Union - 15 countries (1995-2004)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","36,024.1"
"2011","European Union - 15 countries (1995-2004)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","37,178.3"
"2012","European Union - 15 countries (1995-2004)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","38,232.7"
"2013","European Union - 15 countries (1995-2004)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","39,077.7"
"2014","European Union - 15 countries (1995-2004)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","40,303.7"
"2015","European Union - 15 countries (1995-2004)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","41,404.6"
"2016","European Union - 15 countries (1995-2004)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","42,703.8"
"2017","European Union - 15 countries (1995-2004)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","43,840.8"
"2018","European Union - 15 countries (1995-2004)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","45,148.9"
