TIME;GEO;SEX;CATEGORY;NACE_R2;AGE;UNIT;Value
2010;European Union - 27 countries (from 2020);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;37565.7
2011;European Union - 27 countries (from 2020);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;38841.7
2012;European Union - 27 countries (from 2020);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;39592.6
2013;European Union - 27 countries (from 2020);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;40082.6
2014;European Union - 27 countries (from 2020);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;40940.9
2015;European Union - 27 countries (from 2020);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;41733.5
2016;European Union - 27 countries (from 2020);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;42792.6
2017;European Union - 27 countries (from 2020);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;43831.5
2018;European Union - 27 countries (from 2020);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;44848.7
2019;European Union - 27 countries (from 2020);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;45913.5
2010;European Union - 28 countries (2013-2020);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;44305.1
2011;European Union - 28 countries (2013-2020);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;46465.9
2012;European Union - 28 countries (2013-2020);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;47450.4
2013;European Union - 28 countries (2013-2020);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;48070.9
2014;European Union - 28 countries (2013-2020);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;49157.6
2015;European Union - 28 countries (2013-2020);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;50214.6
2016;European Union - 28 countries (2013-2020);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;51583.6
2017;European Union - 28 countries (2013-2020);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;52681.5
2018;European Union - 28 countries (2013-2020);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;53837.6
2019;European Union - 28 countries (2013-2020);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;55183.7
2010;European Union - 15 countries (1995-2004);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;37632.5
2011;European Union - 15 countries (1995-2004);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;39583.0
2012;European Union - 15 countries (1995-2004);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;40394.7
2013;European Union - 15 countries (1995-2004);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;40813.5
2014;European Union - 15 countries (1995-2004);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;41645.2
2015;European Union - 15 countries (1995-2004);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;42485.0
2016;European Union - 15 countries (1995-2004);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;43694.2
2017;European Union - 15 countries (1995-2004);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;44512.6
2018;European Union - 15 countries (1995-2004);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;45429.3
2019;European Union - 15 countries (1995-2004);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;46577.5
2010;Euro area - 19 countries  (from 2015);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;30289.2
2011;Euro area - 19 countries  (from 2015);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;31370.7
