Codi;Nom del centre d'estudi;Població;Sigles Univ.;Places orientatives;Nota de tall (a l'inici del procés);"Nota de tall 
(al final del procés)"
41036;"Administració d'Empreses i Gestió de la Innovació ""Tecnocampus"" (docència en Anglès)";Mataró;UPF;35;  5,000;  5,000
41029;"Administració d'Empreses i Gestió de la Innovació ""Tecnocampus""";Mataró;UPF;65;  5,860;  5,000
41041;"Administració d'Empreses i Gestió de la Innovació / Màrqueting i Comunitats Digitals ""Tecnocampus"" (simultaneïtat)";Mataró;UPF;55;  7,924;  5,000
41035;"Administració d'Empreses i Gestió de la Innovació / Turisme i Gestió del Lleure ""Tecnocampus"" (simultaneïtat)";Mataró;UPF;50;  5,000;  5,000
11033;Administració i Direcció d'Empreses;Barcelona;UB;800;  8,137;  7,908
31002;"Administració i Direcció d'Empreses ""Centre Universitari EAE""";Barcelona;UPC;130;  5,000;  5,000
41008;Administració i Direcció d'Empreses;Barcelona;UPF;170; 10,922; 10,744
71063;"Administració i Direcció d'Empreses ""IGEMA""";Barcelona;URV;80;  5,000;  5,000
21014;Administració i Direcció d'Empreses;Cerdanyola del Vallès;UAB;160;  9,041;  8,820
21099;Administració i Direcció d'Empreses (docència en Anglès);Cerdanyola del Vallès;UAB;70;  9,278;  8,978
81003;Administració i Direcció d'Empreses;Girona;UdG;100;  8,328;  8,284
61003;Administració i Direcció d'Empreses;Lleida;UdL;150;  5,000;  5,000
91042;Administració i Direcció d'Empreses (Campus Manresa);Manresa;UVic-UCC;50;  5,000;  5,000
71002;Administració i Direcció d'Empreses;Reus;URV;140;  5,544;  5,000
31072;"Administració i Direcció d'Empreses ""EUNCET"" (semipresencial)";Terrassa;UPC;30;  5,000;  5,000
31001;"Administració i Direcció d'Empreses ""EUNCET""";Terrassa;UPC;50;  5,000;  5,000
71004;Administració i Direcció d'Empreses;Tortosa;URV;50;  5,000;  5,000
91003;Administració i Direcció d'Empreses;Vic;UVic-UCC;40;  5,000;  5,000
11064;Administració i Direcció d'Empreses / Dret (simultaneïtat);Barcelona;UB;60; 10,636; 10,446
21098;Administració i Direcció d'Empreses / Dret (simultaneïtat);Cerdanyola del Vallès;UAB;80;  9,536;  9,516
81053;Administració i Direcció d'Empreses / Dret (simultaneïtat);Girona;UdG;10;  8,754;  8,754
61035;Administració i Direcció d'Empreses / Dret (simultaneïtat);Lleida;UdL;30;  8,424;  7,840
71055;Administració i Direcció d'Empreses / Dret (simultaneïtat);Tarragona / Reus;URV;25;  8,072;  8,072
81052;Administració i Direcció d'Empreses / Economia (simultaneïtat);Girona;UdG;30; 10,014; 10,014
81046;Administració i Direcció d'Empreses / Enginyeria en Tecnologies Industrials (simultaneïtat);Girona;UdG;15;  6,789;  6,789
61036;Administració i Direcció d'Empreses / Enginyeria Informàtica (simultaneïtat);Lleida;UdL;10; 10,510; 10,282
71053;Administració i Direcció d'Empreses / Finances i Comptabilitat (simultaneïtat);Reus;URV;30; 10,104; 10,088
31101;"Administració i Direcció d'Empreses ""EUNCET"" / Màrqueting i Comunicació Digital ""EUNCET"" (simultaneïtat)";Terrassa;UPC;30;  5,000;  5,000
11066;Administració i Direcció d'Empreses / Matemàtiques (simultaneïtat);Barcelona;UB;20; 11,724; 11,586
11090;Administració i Direcció d'Empreses / Sociologia (simultaneïtat);Barcelona;UB;20;  8,582;  8,464
71075;Administració i Direcció d'Empreses / Tècniques de Desenvolupament d'Aplicacions Web i Mòbils (simultaneïtat);Tarragona / Reus;URV;10;  5,505;  5,505
61053;Administració i Direcció d'Empreses / Turisme (simultaneïtat);Lleida;UdL;20;  7,846;  5,740
71003;Anglès;Tarragona;URV;55;  5,010;  5,010
71049;Antropologia i Evolució Humana (Virtual o semipresencial);Tarragona;URV/UOC;120;  5,000;  5,000
11001;Antropologia Social i Cultural;Barcelona;UB;120;  5,324;  5,000
21006;Antropologia Social i Cultural;Cerdanyola del Vallès;UAB;80;  6,194;  5,572
11029;Arqueologia;Barcelona;UB;80;  5,000;  5,000
21007;Arqueologia;Cerdanyola del Vallès;UAB;80;  5,000;  5,000
71035;Arquitectura;Reus;URV;60;  5,000;  5,000
31016;Arquitectura Tècnica i Edificació;Barcelona;UPC;140;  5,000;  5,000
81020;Arquitectura Tècnica i Edificació;Girona;UdG;25;  5,000;  5,000
81065;Arquitectura Tècnica i Edificació (semipresencial);Girona;UdG;15;  5,000;  5,000
61016;Arquitectura Tècnica i Edificació;Lleida;UdL;25;  5,000;  5,000
31078;Arquitectura, Estudis d';Barcelona;UPC;350;  6,614;  6,310
81057;Arquitectura, Estudis d';Girona;UdG;40;  5,994;  5,526
31079;Arquitectura, Estudis d';Sant Cugat del Vallès;UPC;100;  9,494;  9,494
81045;Arts Escèniques;Salt;UdG;40;  5,000;  5,000
21020;"Arts i Disseny ""Massana""";Barcelona;UAB;95;  5,000;  5,000
11053;Belles Arts;Barcelona;UB;300;  7,738;  6,850
91910;"Bioinformàtica ""ESCI"" (docència en Anglès)";Barcelona;UPF/UB/UPC;40;  5,911;  5,314
11002;Biologia;Barcelona;UB;160; 10,682; 10,647
21009;Biologia;Cerdanyola del Vallès;UAB;80; 10,762; 10,702
