,Year,Country,Anual GDP (M.€),Var. GDP(%),GDP Per Capita (m.€),Var. GDPxC(%),Total Debt (M.€),Var. TDebt(%),Debt (% GDP),Var. Debt (% GDP),Debt Per Capita (m.€),Var. DebtxC (%)
0,1996,Germany,1967956000000.0,,24160.0,,1115747000000.0,,57.8,,13605.0,
1,1997,Germany,1952618000000.0,-0.0077938734402598344,23960.0,-0.008278145695364225,1142493000000.0,0.023971384193728573,58.9,0.01903114186851207,13923.0,0.02337375964718857
2,1998,Germany,2000816000000.0,0.024683783515260016,24570.0,0.02545909849749584,1199279000000.0,0.049703586805345916,59.5,0.01018675721561979,14619.0,0.04998922645981474
3,1999,Germany,2059480000000.0,0.029320037424730664,25290.0,0.0293040293040292,1238559000000.0,0.032753012434971314,60.1,0.010084033613445342,15074.0,0.031123879882345
4,2000,Germany,2109090000000.0,0.024088604890554862,25890.0,0.023724792408066357,1245750000000.0,0.00580594061324491,59.1,-0.016638935108153063,15144.0,0.004643757463181686
5,2001,Germany,2172540000000.0,0.03008406469140712,26650.0,0.029354963306295945,1258694000000.0,0.010390527794501336,57.9,-0.020304568527918843,15268.0,0.008188061278393999
6,2002,Germany,2198120000000.0,0.011774236607841493,26950.0,0.011257035647279643,1312355000000.0,0.04263228393874918,59.7,0.031088082901554518,15900.0,0.0413937647367042
7,2003,Germany,2211570000000.0,0.006118865212090263,27120.0,0.0063079777365491205,1400121000000.0,0.06687672161876934,63.3,0.06030150753768826,16965.0,0.06698113207547163
8,2004,Germany,2262520000000.0,0.02303793232861717,27780.0,0.02433628318584069,1470360000000.0,0.050166378477288776,65.0,0.026856240126382325,17822.0,0.050515767757147056
9,2005,Germany,2288310000000.0,0.01139879426480217,28130.0,0.012598992080633531,1541097000000.0,0.048108626458826416,67.3,0.03538461538461535,18694.0,0.048928290876444784
10,2006,Germany,2385080000000.0,0.04228885072389677,29380.0,0.044436544614290696,1590959000000.0,0.03235487448226815,66.7,-0.008915304606240682,19328.0,0.03391462501337328
11,2007,Germany,2499550000000.0,0.04799419725963072,30860.0,0.05037440435670515,1599568000000.0,0.00541120167144471,64.0,-0.040479760119940034,19455.0,0.0065707781456954
12,2008,Germany,2546490000000.0,0.01877938028845194,31530.0,0.0217109526895658,1668517000000.0,0.043104763286087255,65.5,0.0234375,20347.0,0.04584939604214844
13,2009,Germany,2445730000000.0,-0.03956818993987799,30390.0,-0.03615604186489063,1785141000000.0,0.06989680057200487,73.0,0.1145038167938932,21823.0,0.07254140659556696
14,2010,Germany,2564400000000.0,0.04852130038884095,31940.0,0.05100361961171429,2112595000000.0,0.18343312937185366,82.4,0.12876712328767126,26334.0,0.20670851853549
15,2011,Germany,2693560000000.0,0.05036655747933239,33550.0,0.050407013149655684,2149489000000.0,0.01746383002894536,79.8,-0.031553398058252524,26759.0,0.016138831928305564
16,2012,Germany,2745310000000.0,0.019212492017998573,34130.0,0.01728763040238457,2227419000000.0,0.03625512854450519,81.1,0.01629072681704247,27662.0,0.03374565566725218
17,2013,Germany,2811350000000.0,0.02405557113768575,34860.0,0.02138880750073246,2213009000000.0,-0.00646937105232559,78.7,-0.0295930949445129,27400.0,-0.009471477116622109
18,2014,Germany,2927430000000.0,0.04128977181781002,36150.0,0.037005163511187655,2215168000000.0,0.0009755947671248322,75.7,-0.03811944091486663,27281.0,-0.004343065693430681
19,2015,Germany,3030070000000.0,0.03506147029988771,37090.0,0.02600276625172881,2185113000000.0,-0.013567819686813865,72.1,-0.047556142668428114,26591.0,-0.025292327993841842
20,2016,Germany,3134100000000.0,0.03433254017233933,38060.0,0.02615260177945533,2168989000000.0,-0.007379023418926156,69.2,-0.04022191400832165,26284.0,-0.011545259674325849
21,2017,Germany,3244990000000.0,0.035381768290737366,39260.0,0.03152916447714138,2118669000000.0,-0.023199748823069192,65.3,-0.0563583815028903,25590.0,-0.026403895906254804
22,2018,Germany,3344370000000.0,0.03062567219005308,40340.0,0.027508914926133388,2068562000000.0,-0.0236502256841441,61.9,-0.0520673813169984,24917.0,-0.026299335677999247
23,2019,Germany,3435210000000.0,0.027162066398155767,41350.0,0.02503718393653931,2053033000000.0,-0.007507147477329612,59.8,-0.03392568659127626,24686.0,-0.009270778986234296
24,1996,Spain,489203000000.0,,12700.0,,319976000000.0,,65.4,,8005.0,
25,1997,Spain,519268000000.0,0.06145710471930865,13000.0,0.023622047244094446,333627000000.0,0.042662574693101966,64.2,-0.01834862385321101,8311.0,0.038226108682073656
26,1998,Spain,555993000000.0,0.07072455841684833,13760.0,0.058461538461538565,346417000000.0,0.03833622578508344,62.3,-0.02959501557632405,8595.0,0.034171579833955024
27,1999,Spain,595723000000.0,0.07145773418010659,14760.0,0.07267441860465107,362223000000.0,0.045627091049226916,60.8,-0.024077046548956704,8950.0,0.041303083187899985
28,2000,Spain,647851000000.0,0.08750375594026072,15970.0,0.0819783197831978,374557000000.0,0.034050847130082884,57.8,-0.049342105263157854,9211.0,0.029162011173184288
29,2001,Spain,700993000000.0,0.08202812066354759,17200.0,0.07701941139636825,378883000000.0,0.011549643979420932,54.0,-0.06574394463667821,9233.0,0.00238844859407239
30,2002,Spain,749552000000.0,0.06927173309861878,18090.0,0.051744186046511535,384145000000.0,0.013888192397125243,51.2,-0.051851851851851816,9184.0,-0.005307050796057644
31,2003,Spain,802266000000.0,0.07032734219907355,19010.0,0.05085682697622995,382775000000.0,-0.003566361660310547,47.7,-0.068359375,8996.0,-0.02047038327526129
32,2004,Spain,859437000000.0,0.07126190066636262,20050.0,0.0547080483955813,389888000000.0,0.01858271830709945,45.4,-0.048218029350104885,9005.0,0.0010004446420630586
33,2005,Spain,927357000000.0,0.0790284802725505,21240.0,0.05935162094763102,393479000000.0,0.00921033732764287,42.4,-0.06607929515418498,8941.0,-0.007107162687395863
34,2006,Spain,1003823000000.0,0.08245583955262115,22630.0,0.06544256120527314,392168000000.0,-0.003331816945758237,39.1,-0.07783018867924517,8757.0,-0.020579353539872502
35,2007,Spain,1075539000000.0,0.07144287389310655,23780.0,0.050817498895271866,383798000000.0,-0.02134289386181432,35.8,-0.0843989769820973,8404.0,-0.04031060865593239
36,2008,Spain,1109541000000.0,0.03161391637123345,24130.0,0.014718250630782137,439771000000.0,0.1458397386124992,39.7,0.1089385474860336,9511.0,0.13172298905283195
37,2009,Spain,1069323000000.0,-0.03624742123094149,23060.0,-0.044343141317861545,568700000000.0,0.2931730377855748,53.3,0.3425692695214104,12234.0,0.2863000735989907
38,2010,Spain,1072709000000.0,0.0031664894517371427,23040.0,-0.0008673026886383273,649259000000.0,0.14165465095832608,60.5,0.13508442776735466,13913.0,0.13724047735818212
39,2011,Spain,1063763000000.0,-0.008339633581894046,22760.0,-0.01215277777777779,743530000000.0,0.14519783322218105,69.9,0.15537190082644647,15881.0,0.14145044203263146
40,2012,Spain,1031099000000.0,-0.03070608772818761,22562.0,-0.008699472759226667,890726000000.0,0.19796914717630765,86.3,0.23462088698140196,19062.0,0.20030224796927154
41,2013,Spain,1020348000000.0,-0.010426738848548944,22518.0,-0.0019501817214785386,978272000000.0,0.09828611716734437,95.8,0.1100811123986094,21033.0,0.10339943342776214
42,2014,Spain,1032158000000.0,0.01157448243148407,22780.0,0.011635136335376162,1039388000000.0,0.06247342252461485,100.7,0.051148225469728636,22377.0,0.06389958636428461
43,2015,Spain,1077590000000.0,0.044016516851102194,23220.0,0.019315188762071944,1070079000000.0,0.029527952987719708,99.3,-0.013902681231380387,23042.0,0.02971801403226526
44,2016,Spain,1113840000000.0,0.03363988158761688,23980.0,0.03273040482342804,1104554000000.0,0.032217247511632234,99.2,-0.0010070493454178429,23740.0,0.030292509330787313
45,2017,Spain,1161878000000.0,0.04312827695180643,24970.0,0.041284403669724856,1145097000000.0,0.036705312732559836,98.6,-0.006048387096774244,24542.0,0.03378264532434705
46,2018,Spain,1202193000000.0,0.03469813526032861,25770.0,0.032038446135362435,1173350000000.0,0.024673018966952176,97.4,-0.012170385395537386,24998.0,0.018580392796023082
47,2019,Spain,1244757000000.0,0.035405296820061334,26430.0,0.025611175785797524,1188859000000.0,0.01321770997571048,95.5,-0.01950718685831632,25119.0,0.004840387230978571
48,1996,UK,1114826000000.0,,19170.0,,542885000000.0,,44.1,,9322.0,
49,1997,UK,1375538000000.0,0.2338589160999116,23590.0,0.2305685967657798,617681000000.0,0.13777503522845547,43.2,-0.020408163265306038,10578.0,0.13473503540012866
50,1998,UK,1472989000000.0,0.07084573454168486,25190.0,0.06782534972445943,578654000000.0,-0.06318309936682531,41.0,-0.050925925925926034,9878.0,-0.06617508035545472
51,1999,UK,1578606000000.0,0.07170250422779811,26900.0,0.06788408098451759,660660000000.0,0.1417185399219567,39.5,-0.03658536585365857,11239.0,0.13778092731322136
52,2000,UK,1797682000000.0,0.13877813716658882,30530.0,0.13494423791821553,645943000000.0,-0.02227620863984503,36.8,-0.06835443037974688,10948.0,-0.02589198327253317
53,2001,UK,1832343000000.0,0.019280940678050973,31000.0,0.015394693743858491,637004000000.0,-0.013838682360517884,34.0,-0.07608695652173902,10753.0,-0.017811472415052987
54,2002,UK,1893359000000.0,0.033299442298739816,31890.0,0.028709677419354932,625646000000.0,-0.017830343294547583,34.2,0.00588235294117645,10515.0,-0.02213335813261419
55,2003,UK,1817185000000.0,-0.04023220107755576,30470.0,-0.04452806522420827,632117000000.0,0.010342909568669791,35.4,0.0350877192982455,10572.0,0.0054208273894436046
56,2004,UK,1945198000000.0,0.07044577189444112,32450.0,0.06498194945848379,718657000000.0,0.1369050349856118,38.4,0.0847457627118644,11941.0,0.12949300037835787
57,2005,UK,2041933000000.0,0.04973015600468434,33800.0,0.04160246533127898,806349000000.0,0.12202204946170435,39.6,0.03125,13302.0,0.11397705384808644
58,2006,UK,2163500000000.0,0.05953525409501693,35570.0,0.05236686390532541,888713000000.0,0.1021443568479654,40.5,0.02272727272727271,14552.0,0.09397083145391673
