,Year,Country,National Average Salary,NAS_Inc/Dec_Rate
0,2019,Spain,27537,
1,2018,Spain,26922,-0.02233358753676873
2,2017,Spain,26550,-0.013817695564965482
3,2016,Spain,26449,-0.003804143126177051
4,2015,Spain,26475,0.0009830239328518786
5,2014,Spain,26191,-0.01072710103871577
6,2013,Spain,26027,-0.0062616929479591965
7,2012,Spain,25894,-0.005110077995927331
8,2011,Spain,25515,-0.014636595350274173
9,2010,Spain,24786,-0.02857142857142858
10,2009,Spain,24164,-0.025094811587186294
11,2008,Spain,23252,-0.037742095679523247
12,2007,Spain,21989,-0.05431790813693449
13,2006,Spain,21168,-0.037336850243303465
14,2005,Spain,20616,-0.02607709750566889
15,2004,Spain,20045,-0.02769693441986809
16,2003,Spain,19385,-0.03292591668745326
17,2002,Spain,18601,-0.040443641991230295
18,2001,Spain,17919,-0.03666469544648132
19,2000,Spain,17319,-0.033484011384563916
20,2019,UK,46485,
21,2018,UK,44669,-0.03906636549424547
22,2017,UK,43940,-0.016320042982829297
23,2016,UK,45275,0.0303823395539371
24,2015,UK,49567,0.09479845389287678
25,2014,UK,43567,-0.12104827808824414
26,2013,UK,41316,-0.05166754653751693
27,2012,UK,42996,0.04066221318617491
28,2011,UK,39272,-0.08661270815889854
29,2010,UK,39981,0.018053575066204974
30,2009,UK,37478,-0.06260473725019389
31,2008,UK,41922,0.11857623138908169
32,2007,UK,48537,0.1577930442249893
33,2006,UK,46087,-0.05047695572449884
34,2005,UK,44361,-0.03745090806518103
35,2004,UK,43191,-0.02637451815784131
36,2003,UK,40490,-0.06253617651825616
37,2002,UK,42689,0.05430970610027175
38,2001,UK,41637,-0.024643350746093806
39,2000,UK,40871,-0.018397098734298845
40,2019,Germany,52185,
41,2018,Germany,50700,-0.02845645300373667
42,2017,Germany,49100,-0.0315581854043393
43,2016,Germany,48300,-0.016293279022403295
44,2015,Germany,47100,-0.024844720496894457
45,2014,Germany,45970,-0.02399150743099787
46,2013,Germany,44900,-0.023276049597563575
47,2012,Germany,44400,-0.011135857461024523
48,2011,Germany,43300,-0.024774774774774744
49,2010,Germany,41736,-0.03612009237875291
50,2009,Germany,40600,-0.02721870806977189
51,2008,Germany,41000,0.009852216748768461
52,2007,Germany,40100,-0.02195121951219514
53,2006,Germany,39149,-0.023715710723192007
54,2005,Germany,38700,-0.011469003039668912
55,2004,Germany,38100,-0.015503875968992276
56,2003,Germany,37200,-0.023622047244094446
57,2002,Germany,36400,-0.021505376344086002
58,2001,Germany,35200,-0.03296703296703296
59,2000,Germany,34400,-0.022727272727272707
60,2019,Italy,31602,
61,2018,Italy,31050,-0.017467248908296984
62,2017,Italy,30696,-0.01140096618357489
63,2016,Italy,30619,-0.002508470158978371
64,2015,Italy,30550,-0.0022535027270649266
65,2014,Italy,30347,-0.006644844517184945
66,2013,Italy,29983,-0.01199459584143403
67,2012,Italy,29440,-0.018110262482073147
68,2011,Italy,28872,-0.01929347826086958
69,2010,Italy,28243,-0.021785813244666108
70,2009,Italy,27419,-0.02917537088836175
71,2008,Italy,26845,-0.020934388562675488
72,2007,Italy,25805,-0.03874092009685226
73,2006,Italy,25241,-0.021856229412904438
74,2005,Italy,24450,-0.03133790261875524
75,2004,Italy,23723,-0.029734151329243397
76,2003,Italy,23113,-0.025713442650592278
77,2002,Italy,22640,-0.02046467356033399
78,2001,Italy,22182,-0.020229681978798597
79,2000,Italy,21550,-0.02849156974123168
80,2019,France,36547,
81,2018,France,36319,-0.006238542151202564
82,2017,France,35707,-0.01685068421487379
83,2016,France,35052,-0.01834374212339318
84,2015,France,34746,-0.008729887024991445
85,2014,France,37235,0.07163414493754683
86,2013,France,36616,-0.01662414395058409
87,2012,France,36143,-0.012917850120165997
88,2011,France,35489,-0.01809479013916937
89,2010,France,34693,-0.02242948519259491
90,2009,France,34132,-0.016170409016228016
91,2008,France,33580,-0.016172506738544423
92,2007,France,32413,-0.03475282906491961
93,2006,France,31369,-0.032209298738160586
94,2005,France,30521,-0.02703305811469925
95,2004,France,29608,-0.029913829822089677
96,2003,France,28847,-0.025702512834369085
97,2002,France,28185,-0.02294866017263497
98,2001,France,27418,-0.027213056590384976
99,2000,France,26712,-0.02574950762272954
