,Season End Year,League,Nº Teams,Total Stadiums Capacity,TSC_%,Average Stadiums Capacity,ASC_%,Total Attendance,TA_%,Average Attendance,AA_%,Average Capacity Ocupation,ACO_%
0,1997,La Liga,22,848833.0,,38583.0,,14848833,,32140,,0.833,
1,1998,La Liga,20,783706.0,-0.07672533937771031,39185.0,0.015602726589430516,11783706,-0.20642208044228127,31010,-0.035158680771624096,0.7914,-0.049939975990396124
2,1999,La Liga,20,792250.0,0.010902047451467832,39101.0,-0.002143677427587032,11792250,0.000725069006304091,31032,0.0007094485649790093,0.7936,0.0027798837503159035
3,2000,La Liga,20,803074.0,0.013662354054907013,40154.0,0.026930257538170462,11803074,0.0009178909877249897,31061,0.000934519205980866,0.7735,-0.025327620967741996
4,2001,La Liga,20,706010.0,-0.12086557403178287,35301.0,-0.12085969019275787,10106010,-0.14378152674464295,26595,-0.14378159106274746,0.7534,-0.025985778926955416
5,2002,La Liga,20,771112.0,0.09221115848217454,38556.0,0.09220701963117196,10806012,0.06926591206618626,28437,0.0692611393119007,0.7375,-0.02110432705070342
6,2003,La Liga,20,794200.0,0.029941175860316083,39710.0,0.029930490714804362,10908015,0.00943946758526648,28705,0.009424341526883984,0.7229,-0.01979661016949164
7,2004,La Liga,20,820328.0,0.03289851422815415,41016.0,0.0328884411986905,11268077,0.033008938839926394,29653,0.033025605295244675,0.723,0.00013833171946320275
8,2005,La Liga,20,782950.0,-0.045564700948888766,39148.0,-0.04554320265262335,10968467,-0.02658927517090981,28864,-0.026607763126833658,0.7373,0.019778699861687343
9,2006,La Liga,20,801745.0,0.024005364327224,40087.0,0.023985899662817944,11247120,0.025404917569611163,29598,0.025429600886917925,0.7383,0.0013563000135630163
10,2007,La Liga,20,791415.0,-0.012884395911418213,39571.0,-0.01287200339262107,11040728,-0.018350653322806162,29055,-0.018345834177984962,0.7343,-0.005417851821752695
11,2008,La Liga,20,782382.0,-0.011413733629006328,39119.0,-0.01142250638093556,11109142,0.006196511679302352,29312,0.008845293409051713,0.7493,0.02042761813972493
12,2009,La Liga,20,761090.0,-0.027214327527985027,38055.0,-0.027199059280656468,10815502,-0.0264322843294289,28462,-0.028998362445414868,0.7479,-0.0018684105164820108
13,2010,La Liga,20,748949.0,-0.015952121299714902,37447.0,-0.015976875574825855,10825513,0.0009256158428891935,28488,0.0009134987000209982,0.7607,0.017114587511699364
14,2011,La Liga,20,773061.0,0.03219444848714659,38653.0,0.03220551713087838,10707394,-0.01091116882867349,28177,-0.010916877281662464,0.7290000000000001,-0.041672144077823166
15,2012,La Liga,20,788694.0,0.020222207561887195,39435.0,0.020231288645124582,10815670,0.010112264478172815,28462,0.010114632501685872,0.7218,-0.00987654320987652
16,2013,La Liga,20,802502.0,0.017507423664944843,40125.0,0.01749714720426021,10734741,-0.007482569272176388,28249,-0.00748366242709575,0.7040000000000001,-0.024660570795234205
17,2014,La Liga,20,788528.0,-0.017413040715163364,39426.0,-0.017420560747663516,10173322,-0.05229925901332877,26843,-0.04977167333356936,0.6808,-0.032954545454545466
18,2015,La Liga,20,745669.0,-0.05435317452265487,37283.0,-0.0543549941662862,10268036,0.009310036583920269,27021,0.006631151510635869,0.7247,0.06448296122209163
19,2016,La Liga,20,796611.0,0.06831717558326811,39831.0,0.06834213984926096,10703881,0.042446773657591315,28168,0.04244846600791985,0.7072,-0.024147923278597938
20,2017,La Liga,20,790407.0,-0.007787991880604196,39520.0,-0.007807988752479234,10499350,-0.01910811601885332,27630,-0.019099687588753245,0.6991,-0.011453619909502222
21,2018,La Liga,20,775750.0,-0.018543611076318856,38788.0,-0.01852226720647776,10201292,-0.028388233557315457,26846,-0.02837495475931961,0.6921,-0.010012873694750346
22,2019,La Liga,20,730925.0,-0.05778279084756688,36546.0,-0.05780138187068162,10188198,-0.0012835629055614195,26811,-0.0013037323996125671,0.7336,0.05996243317439665
23,2020,La Liga,20,755331.0,0.033390566747614425,37767.0,0.03340994910523731,7763877,-0.23795385602046604,20431,-0.2379620305098653,0.541,-0.2625408942202835
24,1997,Premier League,20,868104.0,,43405.0,,10818380,,28469,,0.6559,
25,1998,Premier League,20,833828.0,-0.039483748490964254,41691.0,-0.039488538186844835,11100919,0.0261165719821268,29213,0.02613368927605464,0.7007,0.06830309498399134
26,1999,Premier League,20,846272.0,0.014923941148534238,42314.0,0.014943273128492862,11623113,0.047040609881037865,30587,0.047033854790675456,0.7229,0.031682603111174545
