,club_name,player_name,age,position,club_involved_name,fee,fee_converted,transfer_movement,transfer_period,league_name,year,season
0,Atalanta BC,Federico Magallanes,19.0,Striker,Peñarol,£3.60m,8.21395926612,in,Summer,Serie A,1996,1996/1997
1,Atalanta BC,Filippo Inzaghi,22.0,Striker,AC Parma,£81Th.,0.1848140834877,in,Summer,Serie A,1996,1996/1997
2,SSC Napoli,Caio,20.0,Striker,Inter,£4.50m,10.26744908265,in,Summer,Serie A,1996,1996/1997
3,AC Reggiana,Dietmar Beiersdorfer,32.0,Centre-Back,1. FC Köln,£315Th.,0.7187214357855,in,Summer,Serie A,1996,1996/1997
4,UC Sampdoria,Vincenzo Montella,22.0,Striker,Genoa,£3.95m,9.012538639215,in,Summer,Serie A,1996,1996/1997
5,UC Sampdoria,Juan Sebastián Verón,21.0,Central Midfield,Boca Juniors,£3.24m,7.392563339508,in,Summer,Serie A,1996,1996/1997
6,Bologna FC 1909,Igor Shalimov,27.0,Attacking Midfield,Udinese,£3.60m,8.21395926612,in,Summer,Serie A,1996,1996/1997
7,AC Perugia,Milan Rapaic,22.0,Left Winger,Hajduk Split,£675Th.,1.5401173623975,in,Summer,Serie A,1996,1996/1997
8,Milan AC,Christophe Dugarry,24.0,Striker,G. Bordeaux,£5.85m,13.347683807445,in,Summer,Serie A,1996,1996/1997
9,Juventus FC,Alen Boksic,26.0,Striker,Lazio,£4.05m,9.240704174385,in,Summer,Serie A,1996,1996/1997
10,Juventus FC,Christian Vieri,22.0,Striker,Atalanta,£3.39m,7.734811642263,in,Summer,Serie A,1996,1996/1997
11,Juventus FC,Zinédine Zidane,24.0,Attacking Midfield,G. Bordeaux,£3.15m,7.187214357855001,in,Summer,Serie A,1996,1996/1997
12,AC Fiorentina,Luis Oliveira,27.0,Striker,Cagliari Calcio,£6.30m,14.374428715710001,in,Summer,Serie A,1996,1996/1997
13,SS Lazio,Pavel Nedved,23.0,Left Winger,Sparta Praha,£4.18m,9.537319370106,in,Summer,Serie A,1996,1996/1997
14,SS Lazio,Mark Fish,22.0,Centre-Back,Orlando Pirates,£1.17m,2.6695367614889998,in,Summer,Serie A,1996,1996/1997
15,AC Parma,Hernán Crespo,21.0,Striker,River Plate,£3.72m,8.487757908324001,in,Summer,Serie A,1996,1996/1997
16,AC Parma,Amaral,23.0,Defensive Midfield,Palmeiras,£900Th.,2.05348981653,in,Summer,Serie A,1996,1996/1997
17,AC Parma,Enrico Chiesa,25.0,Striker,Sampdoria,£675Th.,1.5401173623975,in,Summer,Serie A,1996,1996/1997
18,FC Internazionale,Youri Djorkaeff,28.0,Attacking Midfield,Paris SG,£5.40m,12.32093889918,in,Summer,Serie A,1996,1996/1997
19,FC Internazionale,Diego Simeone,26.0,Central Midfield,Atlético Madrid,£5.40m,12.32093889918,in,Summer,Serie A,1996,1996/1997
20,FC Internazionale,Fabio Galante,22.0,Centre-Back,Genoa,£4.05m,9.240704174385,in,Summer,Serie A,1996,1996/1997
21,FC Internazionale,Nwankwo Kanu,20.0,Striker,Ajax,£3.53m,8.054243391501,in,Summer,Serie A,1996,1996/1997
22,FC Internazionale,Ciriaco Sforza,26.0,Central Midfield,Bayern Munich,£2.79m,6.365818431243,in,Summer,Serie A,1996,1996/1997
23,FC Internazionale,Iván Zamorano,29.0,Striker,Real Madrid,£2.25m,5.133724541325,in,Summer,Serie A,1996,1996/1997
24,AS Roma,Martin Dahlin,28.0,Striker,Bor. M'gladbach,£2.25m,5.133724541325,in,Summer,Serie A,1996,1996/1997
25,Milan AC,Jesper Blomqvist,22.0,Left Winger,IFK Göteborg,£2.70m,6.16046944959,in,Winter,Serie A,1996,1996/1997
26,AC Fiorentina,Andrey Kanchelskis,27.0,Right Winger,Everton,£7.20m,16.42791853224,in,Winter,Serie A,1996,1996/1997
27,Udinese Calcio,Régis Genaux,23.0,Right-Back,Coventry,£1.04m,2.372921565768,in,Winter,Serie A,1996,1996/1997
28,AC Parma,Reynald Pedros,25.0,Left Winger,Marseille,£2.97m,6.776516394549001,in,Winter,Serie A,1996,1996/1997
29,AS Roma,Vincent Candela,23.0,Left-Back,Guingamp,£8.64m,19.713502238688,in,Winter,Serie A,1996,1996/1997
30,Arsenal FC,Patrick Vieira,20.0,Defensive Midfield,Milan,£4.82m,10.997578795194,in,Summer,Premier League,1996,1996/1997
31,Chelsea FC,Roberto Di Matteo,26.0,Central Midfield,Lazio,£4.95m,11.294193990915,in,Summer,Premier League,1996,1996/1997
32,Chelsea FC,Frank Leboeuf,28.0,Centre-Back,R. Strasbourg,£3.11m,7.095948143787,in,Summer,Premier League,1996,1996/1997
33,Middlesbrough FC,Fabrizio Ravanelli,27.0,Striker,Juventus,£8.80m,20.07856709496,in,Summer,Premier League,1996,1996/1997
34,Middlesbrough FC,Paul Merson,28.0,Right Winger,Arsenal,£5.94m,13.553032789098001,in,Summer,Premier League,1996,1996/1997
35,Nottingham Forest,Pierre van Hooijdonk,26.0,Striker,Celtic,£5.40m,12.32093889918,in,Summer,Premier League,1996,1996/1997
36,Nottingham Forest,Dean Saunders,32.0,Striker,Galatasaray,£1.53m,3.490932688101,in,Summer,Premier League,1996,1996/1997
37,Nottingham Forest,Chris Allen,23.0,Central Midfield,Oxford United,£437Th.,0.9970833886929001,in,Summer,Premier League,1996,1996/1997
38,Newcastle United,Alan Shearer,25.0,Striker,Blackburn,£18.90m,43.12328614713,in,Summer,Premier League,1996,1996/1997
39,Newcastle United,Faustino Asprilla,26.0,Striker,AC Parma,£6.84m,15.606522605628001,in,Summer,Premier League,1996,1996/1997
40,Manchester United,Karel Poborsky,24.0,Right Winger,Slavia Prague,£3.60m,8.21395926612,in,Summer,Premier League,1996,1996/1997
41,Manchester United,Ole Gunnar Solskjaer,23.0,Second Striker,Molde,£2.25m,5.133724541325,in,Summer,Premier League,1996,1996/1997
