,Year,inflation,England,England_infl,Premier_%,Italy,Italy_infl,SerieA_%,Germany,Germany_infl,Bundesliga_%,Spain,Spain_infl,LaLiga_%,France,France_infl,Ligue1_%,Big5_TV,Big5_%
0,1996,1.5021,685,1028.9385,,551,827.6571,,444,666.9324,,524,787.1004,,293,440.1153,,3750.7437000000004,
1,1997,1.4698,895,1315.471,0.2784738835217071,650,955.37,0.15430653588303667,569,836.3162,0.2539744657779408,513,754.0074,-0.04204419156692085,323,474.7454,0.07868415390239791,4335.91,0.1560134060879712
2,1998,1.4466,1024,1481.3184,0.12607453908143929,714,1032.8724,0.08112291572898456,577,834.6882,-0.001946632147027505,612,885.3192,0.1741518717190309,393,568.5138000000001,0.1975130248760706,4802.712,0.10765952245318755
3,1999,1.4346,1219,1748.7774000000002,0.18055470046142674,954,1368.6084,0.32505080007946785,681,976.9626000000001,0.17045215207307352,722,1035.7812000000001,0.16995226128609886,607,870.8022000000001,0.5317169081911468,6000.9318,0.24948816418723418
4,2000,1.4089,1557,2193.6573,0.25439481319920976,1027,1446.9403,0.05723470643611406,880,1239.832,0.269068027783254,676,952.4164000000001,-0.08048495184118043,644,907.3316,0.04194913609543005,6740.177600000001,0.12318850215894805
5,2001,1.3737,1747,2399.8539,0.09399672410088855,1017,1397.0529,-0.03447785648101731,1043,1432.7691,0.15561551887675096,776,1065.9912,0.11924910154844026,643,883.2891,-0.026498030047669485,7178.9562000000005,0.06509896712513918
6,2002,1.3455,1791,2409.7905,0.004140502053062489,1024,1377.792,-0.013786807929749845,1108,1490.8139999999999,0.04051238960974235,847,1139.6385,0.06908809378538971,689,927.0495,0.04954255633857585,7345.0845,0.023141010388111782
7,2003,1.3151,1977,2599.9527,0.07891233698531042,1052,1383.4851999999998,0.0041321186361946705,1058,1391.3758,-0.06670060785584242,953,1253.2903,0.09972618510167908,655,861.3905,-0.07082577575415339,7489.494499999999,0.0196607676875602
8,2004,1.289,1975,2545.7749999999996,-0.020837956013584513,1219,1571.291,0.1357483260391945,1236,1593.204,0.14505656918856857,1029,1326.3809999999999,0.05831905026313544,696,897.1439999999999,0.04150672662398747,7933.795,0.05932316259795645
9,2005,1.2593,1995,2512.3035,-0.01314786263515022,1277,1608.1261000000002,0.023442570472306024,1195,1504.8635000000002,-0.055448329278610764,1158,1458.2694000000001,0.09943477779009213,910,1145.963,0.2773456658016997,8229.525500000002,0.03727478463963352
10,2006,1.2314,2273,2798.9722,0.11410591912959567,1064,1310.2096000000001,-0.18525692730190746,1379,1698.1006,0.12840839052844322,1326,1632.8364000000001,0.11970833372763634,972,1196.9208,0.044467229744765024,8637.0396,0.04951854150035717
11,2007,1.2081,2441,2948.9721,0.05359106460578622,1421,1716.7101,0.3102560842173647,1438,1737.2477999999999,0.02305352227070645,1438,1737.2477999999999,0.06394480181847961,989,1194.8109,-0.00176277327622687,9334.9887,0.08080883408245576
12,2008,1.1717,2326,2725.3741999999997,-0.07582231788493365,1494,1750.5198,0.01969447258450918,1575,1845.4275,0.062270736506329305,1501,1758.7217,0.012360873330793831,1048,1227.9415999999999,0.027728823029652627,9307.9848,-0.0028927619376764024
13,2009,1.1526,2479,2857.2954,0.04840480254050994,1532,1765.7832,0.008719352960189442,1664,1917.9264,0.039285693965219526,1644,1894.8744000000002,0.07741571619887333,1072,1235.5872000000002,0.006226354738694706,9671.4666,0.03905053648132295
14,2010,1.1421,2515,2872.3814999999995,0.005279853108642429,1553,1773.6812999999997,0.004472859408787944,1746,1994.1065999999998,0.039720085192007204,1718,1962.1277999999998,0.03549227326096105,1040,1187.7839999999999,-0.03868864941300809,9790.081199999999,0.012264386044614994
15,2011,1.1173,2900,3240.17,0.12804305416951078,1600,1787.6799999999998,0.007892455087619155,1900,2122.87,0.06457197423648275,1800,2011.1399999999999,0.024979106865516076,1100,1229.03,0.03472516888592536,10390.890000000001,0.061369133485839056
16,2012,1.0874,2946,3203.4804,-0.011323356490554604,1677,1823.5697999999998,0.0200761881321041,2018,2194.3732,0.03368232628469947,1868,2031.2631999999999,0.01000586731903308,1297,1410.3578,0.1475373261840638,10663.044399999999,0.026191635172732708
17,2013,1.0638,3897,4145.6286,0.2941014404208624,1700,1808.46,-0.008285835836938982,2275,2420.145,0.10288669219985014,1933,2056.3254,0.012338233666617127,1498,1593.5724,0.12990646770628,12024.131399999998,0.12764525298234708
18,2014,1.0548,4403,4644.2844,0.12028472593999373,1790,1888.0919999999999,0.04403304468995706,2392,2523.0816,0.04253323664491182,2053,2165.5044,0.05309422331699043,1418,1495.7064,-0.06141296121845485,12716.6688,0.057595628071729355
19,2015,1.0566,4865,5140.3589999999995,0.10681400131309782,1917,2025.5022,0.07277727992068184,2712,2865.4991999999997,0.13571404111543584,2437,2574.9342,0.18906902244114598,1485,1569.051,0.04903676282992442,14175.345599999999,0.11470588901395296
20,2016,1.054,5301,5587.254,0.08693848036683827,2062,2173.348,0.0729921695468907,2793,2943.822,0.027333038515592767,2865,3019.71,0.17273287993145603,1643,1731.722,0.10367476901643102,15455.855999999998,0.09033362826794145
21,2017,1.0425,5440,5671.2,0.01502455410117376,2239,2334.1575,0.07399160189716514,3168,3302.64,0.12188848374663941,3073,3203.6025,0.06089740405535626,1692,1763.91,0.018587279020535696,16275.509999999998,0.053031938185759575
22,2018,1.0287,5851,6018.923699999999,0.06131395471857792,2495,2566.6065,0.09958582486400336,3345,3441.0015,0.04189421190320464,3375,3471.8624999999997,0.08373698047744682,1902,1956.5874,0.10923312413898656,17454.9816,0.0724691023507098
23,2019,1.0133,4900,4965.17,-0.17507344377866085,2100,2127.9300000000003,-0.17091692863709318,3300,3343.8900000000003,-0.028221870871023902,3100,3141.2300000000005,-0.09523202603789727,1700,1722.6100000000001,-0.1195844356352288,15300.830000000002,-0.12341185166302304
24,2020,1.0,6200,6200.0,0.24869843328627206,2700,2700.0,0.268838730597341,3200,3200.0,-0.043030721704362396,3700,3700.0,0.17788254919251356,2300,2300.0,0.33518323938674444,18100.0,0.18294236325741786
