"SEX","GEO","TIME","CATEGORY","NACE_R2","AGE","UNIT","Value","Flag and Footnotes"
"Total","European Union - 28 countries (2013-2020)","2016","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","17,212.0",""
"Total","European Union - 28 countries (2013-2020)","2016","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","2,939.6",""
"Total","European Union - 28 countries (2013-2020)","2016","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","2,284.3",""
"Total","European Union - 28 countries (2013-2020)","2016","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","1,463.4",""
"Total","European Union - 28 countries (2013-2020)","2016","Scientists and engineers","Services","From 15 to 74 years","Thousand","13,729.7",""
"Total","European Union - 28 countries (2013-2020)","2016","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","12,266.9",""
"Total","European Union - 28 countries (2013-2020)","2016","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","1,197.9",""
"Total","European Union - 28 countries (2013-2020)","2017","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","17,628.6",""
"Total","European Union - 28 countries (2013-2020)","2017","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","3,039.3",""
"Total","European Union - 28 countries (2013-2020)","2017","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","2,355.5",""
"Total","European Union - 28 countries (2013-2020)","2017","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","1,526.1",""
"Total","European Union - 28 countries (2013-2020)","2017","Scientists and engineers","Services","From 15 to 74 years","Thousand","14,041.3",""
"Total","European Union - 28 countries (2013-2020)","2017","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","12,538.2",""
"Total","European Union - 28 countries (2013-2020)","2017","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","1,231.9",""
"Total","European Union - 28 countries (2013-2020)","2018","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","18,321.9",""
"Total","European Union - 28 countries (2013-2020)","2018","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","3,160.8",""
"Total","European Union - 28 countries (2013-2020)","2018","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","2,443.5",""
"Total","European Union - 28 countries (2013-2020)","2018","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","1,573.8",""
"Total","European Union - 28 countries (2013-2020)","2018","Scientists and engineers","Services","From 15 to 74 years","Thousand","14,622.4",""
"Total","European Union - 28 countries (2013-2020)","2018","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","13,062.8",""
"Total","European Union - 28 countries (2013-2020)","2018","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","1,256.0",""
"Total","European Union - 28 countries (2013-2020)","2019","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","19,118.9",""
"Total","European Union - 28 countries (2013-2020)","2019","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","3,364.3",""
"Total","European Union - 28 countries (2013-2020)","2019","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","2,476.6",""
"Total","European Union - 28 countries (2013-2020)","2019","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","1,576.3",""
"Total","European Union - 28 countries (2013-2020)","2019","Scientists and engineers","Services","From 15 to 74 years","Thousand","15,349.9",""
"Total","European Union - 28 countries (2013-2020)","2019","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","13,717.3",""
"Total","European Union - 28 countries (2013-2020)","2019","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","1,292.3",""
"Total","Belgium","2016","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","447.1",""
"Total","Belgium","2016","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","77.0",""
"Total","Belgium","2016","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","43.1",""
"Total","Belgium","2016","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","24.9",""
"Total","Belgium","2016","Scientists and engineers","Services","From 15 to 74 years","Thousand","386.1",""
"Total","Belgium","2016","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","348.0",""
"Total","Belgium","2016","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","17.9",""
"Total","Belgium","2017","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","487.8","b"
"Total","Belgium","2017","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","87.1","b"
"Total","Belgium","2017","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","48.0","b"
"Total","Belgium","2017","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","26.3","b"
"Total","Belgium","2017","Scientists and engineers","Services","From 15 to 74 years","Thousand","418.2","b"
"Total","Belgium","2017","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","370.2","b"
"Total","Belgium","2017","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","21.6","b"
"Total","Belgium","2018","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","494.9",""
"Total","Belgium","2018","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","88.2",""
"Total","Belgium","2018","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","55.6",""
"Total","Belgium","2018","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","30.9",""
"Total","Belgium","2018","Scientists and engineers","Services","From 15 to 74 years","Thousand","416.0",""
"Total","Belgium","2018","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","373.9",""
"Total","Belgium","2018","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","23.4",""
"Total","Belgium","2019","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","510.0",""
"Total","Belgium","2019","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","96.6",""
"Total","Belgium","2019","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","53.5",""
"Total","Belgium","2019","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","31.6",""
"Total","Belgium","2019","Scientists and engineers","Services","From 15 to 74 years","Thousand","431.7",""
"Total","Belgium","2019","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","389.2",""
"Total","Belgium","2019","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","24.8",""
"Total","Bulgaria","2016","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","194.2",""
"Total","Bulgaria","2016","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","37.1",""
"Total","Bulgaria","2016","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","18.2",""
"Total","Bulgaria","2016","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","8.4",""
"Total","Bulgaria","2016","Scientists and engineers","Services","From 15 to 74 years","Thousand","156.8",""
"Total","Bulgaria","2016","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","141.4",""
