,ID,Year,Real growth rate,Per capita,In millions
0,1,1985,3.5,2776.0,13518851.0
1,1,1995,3.1,5406.0,31084222.0
2,1,2005,3.9,7270.0,47550129.0
3,1,2010,4.3,9508.0,66145612.0
4,1,2015,2.8,10128.0,74757288.0
5,1,2016,2.4,10159.0,75840177.0
6,1,2017,3.1,10665.0,80501414.0
209,4,1985,0.3,282.0,3322.0
210,4,1995,49.9,189.0,3236.0
211,4,2005,9.9,264.0,6622.0
212,4,2010,3.2,558.0,16078.0
213,4,2015,-1.8,611.0,20608.0
214,4,2016,3.6,584.0,20235.0
215,4,2017,2.5,619.0,21993.0
216,8,1985,1.8,783.0,2324.0
217,8,1995,13.3,770.0,2393.0
218,8,2005,5.5,2615.0,8052.0
219,8,2010,3.7,4056.0,11927.0
220,8,2015,2.2,3895.0,11387.0
221,8,2016,3.4,4061.0,11884.0
222,8,2017,3.8,4450.0,13039.0
223,12,1985,3.7,2564.0,57866.0
224,12,1995,3.8,1452.0,41971.0
225,12,2005,5.9,3100.0,103198.0
226,12,2010,3.6,4463.0,161207.0
227,12,2015,3.7,4163.0,165979.0
228,12,2016,3.2,3943.0,160130.0
229,12,2017,1.4,4055.0,167555.0
230,20,1985,2.3,9837.0,439.0
231,20,1995,2.8,23359.0,1491.0
232,20,2005,7.4,41281.0,3256.0
233,20,2010,-5.4,39734.0,3355.0
234,20,2015,0.8,36040.0,2812.0
235,20,2016,1.9,37230.0,2877.0
236,20,2017,1.7,39153.0,3013.0
237,24,1985,3.5,859.0,9109.0
238,24,1995,15.0,466.0,6642.0
239,24,2005,15.0,1891.0,36971.0
240,24,2010,4.9,3586.0,83799.0
241,24,2015,0.9,4171.0,116194.0
242,24,2016,-2.6,3510.0,101124.0
243,24,2017,-2.5,4247.0,126506.0
244,660,1985,12.9,4072.0,27.0
245,660,1995,-2.3,10583.0,104.0
246,660,2005,13.1,18129.0,229.0
247,660,2010,-4.5,19459.0,268.0
248,660,2015,3.1,22622.0,331.0
249,660,2016,-1.3,21480.0,317.0
250,660,2017,-7.7,18861.0,281.0
251,28,1985,7.7,3508.0,245.0
252,28,1995,-4.4,7841.0,577.0
253,28,2005,6.4,11453.0,1022.0
254,28,2010,-7.2,12175.0,1152.0
255,28,2015,4.0,13602.0,1359.0
256,28,2016,5.6,14507.0,1465.0
257,28,2017,3.0,14803.0,1510.0
258,32,1985,-7.0,3144.0,95530.0
259,32,1995,-2.8,7993.0,279701.0
260,32,2005,8.9,5125.0,200622.0
261,32,2010,10.1,10346.0,426487.0
262,32,2015,2.7,14853.0,644903.0
263,32,2016,-1.8,12654.0,554862.0
264,32,2017,2.9,14400.0,637486.0
265,51,1995,6.9,426.0,1372.0
266,51,2005,13.9,1753.0,5226.0
267,51,2010,2.2,3432.0,9875.0
268,51,2015,3.2,3618.0,10553.0
269,51,2016,0.2,3606.0,10546.0
270,51,2017,7.5,3937.0,11537.0
271,533,1985,9.1,6108.0,385.0
272,533,1995,2.5,16442.0,1321.0
