,country,h_rank,hf_rank,ef_rank,h_score,ef_score,hf_score,gini,unemployment,growth_rate,gdp_ppp
0,Norway,1,10.0,26.0,7.537000179290769,7.3,8.471240566,25.7,4.2,1.8,63756.0
1,Denmark,2,6.0,14.0,7.52199983596802,7.67,8.547819985,27.2,5.7,2.1,56120.0
2,Iceland,3,27.0,11.0,7.50400018692017,7.709999999999999,8.151753108,26.2,2.8,3.6,57597.0
3,Switzerland,4,2.0,4.0,7.49399995803833,8.190000000000001,8.78775905,32.6,4.8,1.1,68943.0
4,Finland,5,10.0,20.0,7.468999862670901,7.49,8.472183957999999,27.7,8.6,3.0,48635.0
5,Netherlands,6,6.0,13.0,7.3769998550415,7.68,8.55442118,27.8,4.8,3.1,56772.0
6,Canada,7,5.0,8.0,7.31599998474121,7.7700000000000005,8.565863321,33.6,6.3,3.0,47870.0
7,Sweden,9,17.0,19.0,7.28399991989136,7.5200000000000005,8.387375149,27.7,6.7,2.4,53119.0
8,Australia,10,4.0,5.0,7.28399991989136,8.09,8.582219227000001,34.7,5.6,2.3,51544.0
9,Israel,11,49.0,27.0,7.212999820709231,7.279999999999999,7.517458071,42.6,4.3,3.3,40786.0
10,Costa Rica,12,37.0,61.0,7.0789999961853,6.529999999999999,7.857714484,48.2,8.1,3.2,17645.0
11,Austria,13,16.0,31.0,7.00600004196167,7.2,8.4134742,30.3,5.5,2.9,56253.0
12,United States,14,17.0,12.0,6.993000030517581,7.68,8.388655108,40.4,4.4,2.3,62641.0
13,Ireland,15,8.0,6.0,6.9770002365112305,8.05,8.504564702,32.3,6.4,7.8,84069.0
14,Germany,16,13.0,24.0,6.9510002136230495,7.35,8.462595689,30.2,3.8,2.5,54327.0
15,Belgium,17,27.0,48.0,6.89099979400635,6.7299999999999995,8.153589293,28.4,7.4,1.7,50774.0
16,Luxembourg,18,15.0,17.0,6.86299991607666,7.590000000000001,8.428700911,30.5,5.5,3.5,111908.0
17,United Kingdom,19,8.0,7.0,6.71400022506714,7.890000000000001,8.497917936,34.4,4.3,1.8,46239.0
18,Argentina,24,107.0,148.0,6.59899997711182,5.220000000000001,6.469847841,43.0,8.7,2.9,20567.0
19,Mexico,25,75.0,66.0,6.57800006866455,6.470000000000001,6.848010198,45.3,3.4,2.0,19969.0
20,Uruguay,28,43.0,40.0,6.4539999961853,6.859999999999999,7.728070903,44.5,7.9,3.1,23530.0
21,Panama,30,46.0,50.0,6.4520001411438,6.720000000000001,7.647620037,51.6,4.5,5.4,25508.0
22,France,31,32.0,71.0,6.44199991226196,6.38,8.008401464,33.7,9.4,1.8,45877.0
23,Thailand,32,98.0,43.0,6.4239997863769505,6.83,6.6247813010000005,39.4,1.1,3.9,19017.0
24,Spain,34,25.0,57.0,6.40299987792969,6.57,8.159106882,35.2,17.2,3.1,40854.0
25,Colombia,36,87.0,49.0,6.35699987411499,6.7299999999999995,6.760756637,54.7,8.9,1.8,14999.0
26,Ecuador,44,83.0,170.0,6.00799989700317,4.6899999999999995,6.80527768,48.7,3.8,2.7,11713.0
27,El Salvador,45,70.0,84.0,6.002999782562259,6.18,7.033950991,43.5,4.5,2.4,8316.0
28,Poland,46,39.0,46.0,5.97300004959106,6.779999999999999,7.811560227,33.2,4.9,4.6,32356.0
29,Italy,48,34.0,80.0,5.96400022506714,6.220000000000001,7.9802231589999995,34.7,11.2,1.5,42080.0
30,Moldova,56,75.0,97.0,5.837999820709231,5.91,6.849514762,32.1,4.5,4.0,7300.0
31,Kazakhstan,60,90.0,59.0,5.8189997673034695,6.540000000000001,6.742837772000001,28.0,4.9,4.0,27830.0
32,Slovenia,62,35.0,58.0,5.75799989700317,6.55,7.9363957329999995,24.9,6.6,5.0,38674.0
33,Peru,63,47.0,45.0,5.71500015258789,6.779999999999999,7.575393347,45.5,3.6,2.5,14393.0
34,Estonia,66,14.0,15.0,5.61100006103516,7.659999999999999,8.436850609,32.0,5.8,4.9,35747.0
35,Belarus,67,128.0,104.0,5.5689997673034695,5.79,6.144514082000001,28.6,0.5,2.4,19959.0
