,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Type of ownership,Industry,Sector,Revenue,Easy Apply,Min Salary,Max Salary
124,Junior Data Analyst,59-85 (),"Job Description
Job description
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
Work with management to prioritize business and information needs
Requirements
Proven work experience as a data analyst or business data analyst
Technical expertise regarding data models, database design development, data mining, and segmentation techniques
Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL, etc), programming (XML, Javascript, or ETL frameworks)
Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS, etc)
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings
Master's in Computer Science or Engineering Management or Project Management or Information Systems/Technology (Preferred)
Powered by JazzHR

o6p2mepzHx",5.0,"['Staffigo Technical Services, LLC', '5.0']","New York, NY","Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),False,59,85 ()
133,Data Analyst with Rochade,59-85 (),"Hi, Trust Yoursquore Doing Good. Enclosed is the job description for your perusal. If you are interested, kindly send me your updated resume along with the expected rate ASAP. Role Data Analyst with Rochade Location NYC, NY Duration Long Term Responsibilities Top three skills Data Catalog, Informatica IDC, Informatica EDC Build stitching linage inside data catalog tool Must have knowledge of lineage and financial industry, technical metadata layer ASG DI or shade tool, IBM ISGWatson, Informatica IMM or ECD (data lineage tools) Skills Needed for Application Analyst ASG Rochade, Becubic Data Lineage Data Stitching"" Thank You Sai Kiran Sr. Technical Recruiter (D) 248-504-6876 (M) (614) 721-6940 Emailsaikiran.chrsrit.com 22260 Haggerty Rd, Suite 285,Northville, MI 48167. www.rsrit.com httpwww.rsrit.com",4.0,"['Reliable Software Resources', '4.0']","New York, NY","Northville, MI",501 to 1000 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),False,59,85 ()
134,Advertising Data Analyst,59-85 (),"Advertising Data Analyst

Hearst Television is seeking an Advertising Data Analyst to join our team.

The candidate will be responsible for:

● Collaborating with sales, tech and product teams to design, implement and refine state-of-the-art digital dashboards.

● Helping to define and drive Hearst Television's data visualization and presentation strategy.

● Evaluating existing data sources and related products on a regular basis, performing QA and health checks to ensure data integrity.

● Performing ad hoc analysis to support our local sales staff, as well as creating custom visualizations as needed.

● Helping to evangelize sales reporting needs and priorities to the product and tech teams.

● Defining UI specs and user experience, managing related vendors and scope of work.

● Interpreting data to inform decisions and tell accurate stories to our advertisers.

Knowledge:

● Experience collecting, integrating, and manipulating new data to be fed into BI tools or data lakes and a basic understanding of data storage and retrieval architecture.

● Strong experience with data analysis and visualization software, e.g. Google BigQuery, Power BI, Domo, Tableau or similar.

● SQL, R or other analysis language proficiency preferred.

● Experience with digital ad campaign/DMP reporting platforms and metrics.

Skills and Abilities:

● Strong analytical mindset with a passion for investigative analysis.

● Ability to communicate and document processes and analysis, and clearly communicate results to technical and non-technical teammates.

● Comfortable interacting with sales teams and occasionally with external clients.

● A high level of organization and prioritization; must be able to assess and assign priority to multiple goals, and clearly communicate timelines.

● Proven ability to multitask in a fast paced, fluid environment.

Experience:

● 3 - 5 years experience in a digital analytics or digital ad campaign analysis role.

● Project management and goal-setting experience within a digital analytics or analysis environment.

Education:

Bachelor’s degree in relevant field or equivalent experience required.",4.3,"['Hearst Television, Inc', '4.3']","New York, NY","Cincinnati, OH",51 to 200 employees,Company - Private,TV Broadcast & Cable Networks,Media,$5 to $10 million (USD),False,59,85 ()
136,Senior Data Analyst,59-85 (),"At Rockstar Games, we create the games we would want to play ourselves.

A career at Rockstar is about being part of a team working on some of the most creatively rewarding, large-scale projects to be found in any entertainment medium. You would be welcomed to a friendly, inclusive environment where you can learn, and collaborate with some of the most talented people in the industry.

Rockstar New York is seeking an experienced data analyst to join our growing Analytics practice and help build Rockstar's business intelligence capacity. Successful candidates will work with analytics and product leadership to assure that the most relevant possible real-time and historical data is identified, tracked, analyzed, and made actionable across all of our titles. This is a full-time permanent position based out of Rockstar's unique game development studio in the heart of downtown Manhattan.

WHAT WE DO
The Rockstar Analytics team provide insights and actionable results to a wide variety of stakeholders across the organization in support of their decision making.
We work together with a number of departments to design and implement data and pipelines.
We collaborate as a global team to develop cutting-edge data pipelines, data products, data models, reports, analyses and machine learning applications.
RESPONSIBILITIES
Partner with analysts and live producers to identify strategic business questions, key metrics, and actionable insights.
Provide consumer-ready recommendations, insights and reporting to Analytics team leadership, live producers, product managers and partner groups.
Effectively translate statistical findings into actionable recommendations for senior leaders on game and business teams.
Research and develop state-of-the-art data mining and statistical modeling solutions to understand game design, system performance and key business behaviors, such as player engagement.
Drive needle moving improvements via hands-on exploration of data, dashboards, statistical analysis and predictive modeling.
Combine qualitative and quantitative driven insights with game knowledge to recommend potential avenues to the game and business teams.
Drive requirements for data collection and for data modeling with data engineers
Work within a team of data analysts and engineers.
QUALIFICATIONS
5+ years in a similar position or an analytics role in the marketing, finance, forensics, or technology fields.
Bachelor's degree in a quantitative field (Statistics, Applied Mathematics, Operational Research, Business Intelligence or any other relevant field).
Graduate degree (MBA, MSc or master's, PHD), an asset.
Extensive knowledge of data analysis techniques, languages, software and systems (SAS, R, Matlab, Python, SPSS, Tableau) required.
Extensive knowledge in SQL (or a SQL-like language) required.
Experience with Vertica and Hadoop, an asset.
Game industry experience strongly desired.
SKILLS
Story telling.
Ability to develop and maintain good relations and communicate with people at all hierarchical levels.
Strong problem-solving skills.
Ability to reconcile technical and business perspectives.
Autonomy and entrepreneurship.
Strong team spirit.
Passion for Rockstar Games and our titles.
HOW TO APPLY


Please apply with a resume and cover-letter demonstrating how you meet the skills above. If we would like to move forward with your application, a Rockstar recruiter will reach out to you to explain next steps and guide you through the process.

Rockstar is proud to be an equal opportunity employer, and we are committed to hiring, promoting, and compensating employees based on their qualifications and demonstrated ability to perform job responsibilities.

If you've got the right skills for the job, we want to hear from you. We encourage applications from all suitable candidates regardless of age, disability, gender identity, sexual orientation, religion, belief, or race.",4.1,"['Rockstar Games', '4.1']","New York, NY","New York, NY",1001 to 5000 employees,Subsidiary or Business Segment,Video Games,Media,$10 to $25 million (USD),False,59,85 ()
142,Data Analyst,59-85 (),"Job Description
Primary Responsibilities: Experience in a data analyst role. Preferably experience in the digital advertising industry or related field Ability to operate comfortably and effectively in a fast-paced, highly cross-functional, rapidly changing environment. Programming skills in SQL required; Python, or Java/Scala preferred Recent proven experience developing data visualizations, dashboards, and reporting in Tableau(or a similar reporting tool) Comfortable with any of advanced analytics tools such as Pandas, R, and Spark Ability to work effectively with data science and engineering partners to meet the data needs of the business, translating business needs into analytical requirements Experience engaging with the business and leadership on problem definition Ability to communicate the results of analyses in a clear and effective manner with product and leadership teams to influence the overall strategy of the product. Email: shashikanth@precisiontechcorp.com Phone:732-537-8954 Thanks & Regards Shashikanth",4.2,"['Precision technologies corp', '4.2']","New York, NY","New Brunswick, NJ",201 to 500 employees,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),False,59,85 ()
144,Student Persistence Initiative Data Analyst/Scientist,59-85 (),"Job Description

General Description

CUNY Fellowship in the Behavioral Sciences


The City University of New York (CUNY) - Office of Institutional Research and Assessment (OIRA) announces a one-year fellowship in the behavioral sciences. Behavioral science is the study of how people make decisions and act within a complex world where details and context matter. It draws from decades of research in the social sciences to create a more realistic framework for understanding the way people form intentions and take actions.

Behavioral science has been used across a variety of fields to realign policies, programs, and products with how we really behave, improving outcomes for millions of people worldwide. OIRA is testing the use of lessons from the behavioral sciences at CUNY through a project called the Student Persistence Initiative (SPI), which is funded by the Mayor’s Office for Economic Opportunity.

CUNY is the nation's leading urban public university serving more than 275,000 students in 25 colleges and institutions in New York City. CUNY-OIRA conducts research and provides data to improve student success and acts as an incubator for new interventions, providing rigorous evidence to identify the most effective, and taking the best to scale at CUNY. SPI is one of these projects.

Under the supervision of the Director for Institutional Research, the fellow will provide quantitative analytic support and data for the implementation and scaling of a set of behavioral interventions over the course of academic year 2020-21. The fellow will work in collaboration with partner CUNY schools and the SPI Project Manager to develop and implement projects that address barriers to student engagement, retention, and success. Planned projects include scaling multi-year interventions through Blackboard, emails, and text messages.

Responsibilities may include but are not limited to:
Conduct student data extraction and analysis (including, but not limited to, academic records, enrollment data, Blackboard analytics, and student experience survey results)
Analyze the effectiveness of SPI interventions and their impact on retention and persistence (including, but not limited to, graduation rates and transfer rates)
Analyze FAFSA renewal rates of student populations in participating senior colleges and community colleges in FAFSA Renewal campaigns
Use statistical programs such as R, SPSS, and Stata to develop and prepare data for sharing with project partners
Extract, clean, and manage data from multiple sources
Respond to ad hoc requests for information and data
Participate in weekly/biweekly conference calls to discuss project development and implementation
Produce briefings, progress reports, and materials for project evaluation based on data; present materials to CUNY staff
Communicate with project partners and stakeholders
Perform other duties as assigned

Other Duties

Qualifications


Basic Qualifications:
Bachelor’s Degree with four years’ related experience
Formal training in quantitative research methods
Ability to define research and analytical problems
Experience programming, writing, and/or interpreting syntax in R and SQL
Experience with other programs (SPSS, Stata, etc.) is a plus
Experience designing and building complex datasets and using complex data
Ability to work as both an independent self-starter and as a collaborative member of a team
Strong organizational skills, with the ability to prioritize tasks and outstanding attention to detail
Ability to be flexible and work in a fast-paced environment
Excellent interpersonal and written/verbal communication skills
Equal Opportunity/Affirmative Action/Americans with Disabilities Act Employer",4.2,"['Cuny Research Foundation', '4.2']","New York, NY","New York, NY",10000+ employees,Nonprofit Organization,Colleges & Universities,Education,$100 to $500 million (USD),False,59,85 ()
146,Data Governance Analyst,59-85 (),"Project Overview

The Enterprise Data Governance Project aims to enable NYPA to manage its ""Data-As-An-Asset” and to build the foundation for an enterprise data analytics platform at NYPA. This program will focus on enabling data stewardship, improving the quality of our data assets, increasing data security and protection, simplifying data integration and establishing better audit trail on data usage at NYPA
This program will implement Data Governance & Data Integration tools and processes to provide data owners and data consumers the ability to provision and access high quality, well-governed data for their day-to-day operations. In addition, it will help establish a strong foundation upon which to build a world-class Data Analytics capability that turns data into business insights more efficiently and effectively.
Job Functions & Responsibilities

Execution of the Data Discovery Project Phase 2
o Conduct data discovery stakeholder interviews with business and IT stakeholders (selected applications)
o Identify data sets, develop data flows, understand data-related processes and identify key data issues for each application
o Update of Enterprise Data Flow diagrams and Enterprise Data Catalog inventory
o Creation of Application Playback decks and Data Discovery report & presentation
Enablement of Data Roles within NYPA
o Maintenance of datasets and data roles in the Enterprise Data Catalog - additions, updates and deletions
o Identification of updates / changes to existing data roles for the datasets in the NYPA Data Catalog
o Perform onboarding, transition and education of NYPA stakeholders for the Data Roles at the enterprise (Data Owner, Data Steward, Data Custodian)
o Conduct of quarterly Data Owner meetings to communicate upcoming Data Governance initiatives / processes / policies / best practices
Lead in onboarding and implementation of Collibra Data Governance tool
o Onboarding of new datasets into Data Governance tool
o Establishment of Data Catalog and shop-for-data feature in Data Governance tool
o Manage metadata ingestion (manual and automated) from different sources
o Creation of new workflows in Collibra Data Governance tool
New custom workflow for Data Access Request
New custom workflow for Business Glossary – from proposal to approval
New custom workflow for asset creation, review and validation
o Training and onboarding of NYPA stakeholders to Collibra
Development of new Data Governance Policies, Procedures and Standards
Develop and operationalize new Data Access Request process
o Design of new Enterprise Data Request Process, based on ongoing pilot feedback
o Implementation of new Data Request Process - app by app – working with application owners and business stakeholders
o Communication and training of all enterprise users on new Data Request Process
Development and execution of Change Management plan for Data Discovery, Data Access Request and operationalization of new Data Governance workflows
Skills

• Strong knowledge of Data Governance & Quality - policies, processes and tools
• Strong experience & expertise in using Collibra Data Governance tool
• Knowledge (experience preferred) using Trillium Data Quality tool and integration with Collibra
• Working experience in implementing Data Governance policies and processes
• Strong presentation & communication skills
• Ability to work with Senior Leaders
• Experience working on teams that work under Agile principles
Education & Certifications

• Undergraduate degree in Engineering, Computer Science, Data Management, or similar field of study. Graduate degree preferred.
• 3+ years of demonstrated Data Governance experience
• Minimum of Level 2 Certification in Collibra required",5.0,"['Crossfire Consulting Corporation', '5.0']","New York, NY","Yorktown Heights, NY",51 to 200 employees,Company - Private,Consulting,Business Services,$5 to $10 million (USD),False,59,85 ()
181,Data/Report Analyst,60-110 (),"color:black;mso-ansi-language:EN-US;mso-fareast-language:EN-IN;mso-bidi-language:

AR-SA' lang='EN-US'>Should have an insurance background

color:black;mso-ansi-language:EN-US;mso-fareast-language:EN-IN;mso-bidi-language:

AR-SA' lang='EN-US'>Experience of working with Adobe

XD, MicroStrategy, Acomona/Acumana",4.0,"['Lorven Technologies Inc', '4.0']","New York, NY","Plainsboro, NJ",1 to 50 employees,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),False,60,110 ()
182,Senior Data Analyst,60-110 (),"We are looking for a seasoned data analyst to become a key player in our Data Product team. Successful candidates will be responsible for empowering our team with meaningful data, validating new products and features, identifying optimization opportunities, and utilizing automation techniques to improve team efficiency. The candidate will be working on a myriad of projects and efforts, including many driven by their own insights and findings. There's never a dull moment; repetitive tasks are non-existent. There's an absolutely incredible amount you will learn here, and you'll be working with one of the largest user behavior datasets in existence.

Data is your passion, you're eager to learn, and you're ready to fully exercise your skill-set.

Responsibilities
Manage projects of the Analytics Team
Design, Develop and Maintain new data sets
Perform rigorous audits of existing data for validity
Reduce the current cost of data infrastructure with data minimization and query optimization
Automate existing redundant tasks using data and tools like looker and airflow
Work with cross-departmental key stakeholders to prioritize projects and translate business needs to analytics needs
Work with members of the analytics team to hit KPI targets and ship new analytics products
Requirements
5+ years of experience
You can perform advanced data transformations in SQL and Excel
You have experience using Business Intelligence tools like Looker to make data available to a broader audience
You can utilize scripting languages like python and R to complete advanced analyses of massive datasets
You can design and create thoughtful queries that identify outliers and unexpected changes in business metrics
You are comfortable reporting on the performance of digital marketing A/B tests
Experience working with abstract concepts and simplifying requirements for easier consumption
You are comfortable using basic statistics concepts
Strong technical skills, business sense, and clear communicator
You're forward-thinking, dynamic, and innovative
You're eager to learn
BounceX is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status.

JOIN US ON OUR MISSION
BounceX is an international marketing technology solution that brings a ""logged-in"" experience to logged-out website visitors across all their devices. A category leader in device identity resolution, BounceX helps companies like Uniqlo, HelloFresh and Tribune Interactive orchestrate real-time, multichannel marketing programs customized for the individual behind each device. They're best known for their impact on triggered email performance and website personalization.

Having raised over $44.9 million in funding from proven firms like Battery Ventures, Cross Creek Advisors and Primary Ventures, BounceX was named the Fastest Growing Software Company in America by Inc Magazine. With headquarters in New York and London, BounceX has been recognized by Glassdoor and Crain's for its exceptional culture and being one of the top places to work in the country. The company recently signed both the White House Equal Pay Pledge and the United Nations Women's Empowerment Pledge and continues to set the bar as a pioneer in technology innovation and workplace inclusion initiatives.

What bonds our community together is our commitment to 5 Core Values:
Come Hungry
Carry Each Other
Drive Undeniable Performance
Respect People, Privacy, Ideas
Bounce Back
Come join us on our mission.",4.1,"['Bounce Exchange', '4.1']","New York, NY","New York, NY",201 to 500 employees,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,False,60,110 ()
183,Human Capital Data Analyst,60-110 (),"Provide analytical support to senior management personnel
Deliver regular and ad hoc reports to business leaders
Ensure that the market data received is researched and meets the clients' specifications
Control business intelligence tools and support systems implementations to improve the way we provide insights to our customers",4.5,"['Green Key Resources', '4.5']","New York, NY","New York, NY",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,False,60,110 ()
