,ID,Country,Year,Real growth rate,Per capita,In millions,per_capita,thousand_tons
0,1,"Total, all countries or areas",1985,3.5,2776.0,13518851.0,4.1,19864139
1,1,"Total, all countries or areas",1995,3.1,5406.0,31084222.0,4.0,23120435
2,1,"Total, all countries or areas",2005,3.9,7270.0,47550129.0,4.5,29490014
3,1,"Total, all countries or areas",2010,4.3,9508.0,66145612.0,4.8,33472376
4,4,Afghanistan,1985,0.3,282.0,3322.0,0.3,3509
5,4,Afghanistan,1995,49.9,189.0,3236.0,0.1,1243
6,4,Afghanistan,2005,9.9,264.0,6622.0,0.0,1327
7,4,Afghanistan,2010,3.2,558.0,16078.0,0.3,8463
8,8,Albania,1985,1.8,783.0,2324.0,2.7,7880
9,8,Albania,1995,13.3,770.0,2393.0,0.7,2087
10,8,Albania,2005,5.5,2615.0,8052.0,1.4,4254
11,8,Albania,2010,3.7,4056.0,11927.0,1.6,4598
12,12,Algeria,1985,3.7,2564.0,57866.0,3.3,72786
13,12,Algeria,1995,3.8,1452.0,41971.0,3.4,95294
14,12,Algeria,2005,5.9,3100.0,103198.0,3.3,107278
15,12,Algeria,2010,3.6,4463.0,161207.0,3.3,119178
16,20,Andorra,1995,2.8,23359.0,1491.0,6.6,425
17,20,Andorra,2005,7.4,41281.0,3256.0,7.4,576
18,20,Andorra,2010,-5.4,39734.0,3355.0,6.2,517
19,24,Angola,1985,3.5,859.0,9109.0,0.5,4701
20,24,Angola,1995,15.0,466.0,6642.0,0.9,10975
21,24,Angola,2005,15.0,1891.0,36971.0,1.2,19156
22,24,Angola,2010,4.9,3586.0,83799.0,1.4,29057
23,660,Anguilla,1995,-2.3,10583.0,104.0,6.9,66
24,660,Anguilla,2005,13.1,18129.0,229.0,9.5,128
25,660,Anguilla,2010,-4.5,19459.0,268.0,10.9,150
26,28,Antigua and Barbuda,1985,7.7,3508.0,245.0,3.8,249
27,28,Antigua and Barbuda,1995,-4.4,7841.0,577.0,4.0,275
28,28,Antigua and Barbuda,2005,6.4,11453.0,1022.0,5.1,429
29,28,Antigua and Barbuda,2010,-7.2,12175.0,1152.0,6.0,524
30,32,Argentina,1985,-7.0,3144.0,95530.0,3.3,100597
31,32,Argentina,1995,-2.8,7993.0,279701.0,3.7,127964
32,32,Argentina,2005,8.9,5125.0,200622.0,4.2,162111
33,32,Argentina,2010,10.1,10346.0,426487.0,4.5,187919
34,51,Armenia,1995,6.9,426.0,1372.0,1.1,3410
35,51,Armenia,2005,13.9,1753.0,5226.0,1.4,4353
36,51,Armenia,2010,2.2,3432.0,9875.0,1.4,4217
37,533,Aruba,1995,2.5,16442.0,1321.0,20.8,1668
38,533,Aruba,2005,1.2,23303.0,2331.0,26.9,2721
39,533,Aruba,2010,-3.4,23513.0,2391.0,24.7,2508
40,36,Australia,1985,3.9,11584.0,182212.0,15.3,241230
41,36,Australia,1995,3.9,21635.0,391094.0,15.5,281860
42,36,Australia,2005,2.8,37571.0,760397.0,17.2,350173
43,36,Australia,2010,2.5,58646.0,1297259.0,17.6,390862
44,40,Austria,1985,2.5,9112.0,69388.0,7.2,54701
45,40,Austria,1995,2.7,30169.0,241054.0,7.5,59783
46,40,Austria,2005,2.2,38282.0,315967.0,9.0,74216
47,40,Austria,2010,1.8,46599.0,391893.0,8.0,67502
48,31,Azerbaijan,1995,-11.8,396.0,3081.0,4.3,33333
49,31,Azerbaijan,2005,28.0,1551.0,13245.0,4.0,34338
50,31,Azerbaijan,2010,4.8,5857.0,52906.0,3.4,30678
51,44,Bahamas,1985,4.8,12271.0,2880.0,6.5,1511
52,44,Bahamas,1995,4.4,18264.0,5117.0,6.0,1683
53,44,Bahamas,2005,3.4,29875.0,9836.0,5.5,1742
54,44,Bahamas,2010,1.5,27979.0,10096.0,4.6,1654
55,48,Bahrain,1985,-16.1,10669.0,4475.0,24.5,10194
56,48,Bahrain,1995,1.9,12040.0,6787.0,26.5,14818
57,48,Bahrain,2005,6.8,17959.0,15969.0,26.5,19208
58,48,Bahrain,2010,4.3,20722.0,25713.0,23.2,29266
59,50,Bangladesh,1985,3.0,206.0,19169.0,0.1,10235
60,50,Bangladesh,1995,4.9,319.0,37866.0,0.2,22816
61,50,Bangladesh,2005,6.0,402.0,57628.0,0.3,39479
62,50,Bangladesh,2010,5.6,753.0,114508.0,0.4,59937
63,52,Barbados,1985,1.1,5569.0,1425.0,3.3,847
64,52,Barbados,1995,2.0,8585.0,2275.0,3.2,829
65,52,Barbados,2005,4.0,14223.0,3897.0,5.0,1353
66,52,Barbados,2010,0.3,15613.0,4365.0,5.3,1478
67,112,Belarus,1995,-10.4,1412.0,14324.0,5.9,60773
68,112,Belarus,2005,9.4,3246.0,31232.0,6.0,59167
69,112,Belarus,2010,7.8,6042.0,57232.0,6.6,63043
70,56,Belgium,1985,1.7,8746.0,86728.0,10.6,104473
71,56,Belgium,1995,2.4,28427.0,289571.0,11.1,112328
72,56,Belgium,2005,2.1,36727.0,387356.0,10.4,108510
73,56,Belgium,2010,2.7,44205.0,483548.0,10.2,110824
74,84,Belize,1985,1.0,1268.0,209.0,1.1,191
75,84,Belize,1995,4.2,2834.0,587.0,1.7,378
76,84,Belize,2005,3.0,3933.0,1114.0,1.5,422
77,84,Belize,2010,3.3,4344.0,1397.0,1.7,539
78,204,Benin,1985,7.5,264.0,1130.0,0.2,744
79,204,Benin,1995,10.1,397.0,2345.0,0.2,1327
80,204,Benin,2005,1.7,602.0,4804.0,0.3,2395
81,204,Benin,2010,2.1,758.0,6970.0,0.6,5090
82,60,Bermuda,1985,4.2,24241.0,1428.0,7.8,451
83,60,Bermuda,1995,5.4,40780.0,2557.0,8.7,532
84,60,Bermuda,2005,1.7,74745.0,4868.0,9.1,583
85,60,Bermuda,2010,-2.5,91516.0,5853.0,9.5,609
86,64,Bhutan,1985,5.7,369.0,172.0,0.1,62
87,64,Bhutan,1995,6.8,562.0,289.0,0.5,249
88,64,Bhutan,2005,7.1,1247.0,819.0,0.6,396
89,64,Bhutan,2010,11.7,2179.0,1585.0,0.7,488
90,68,Bolivia (Plurin. State of),1985,-1.0,664.0,4122.0,0.7,4125
91,68,Bolivia (Plurin. State of),1995,4.7,887.0,6715.0,1.3,9850
92,68,Bolivia (Plurin. State of),2005,4.4,1046.0,9549.0,1.3,12185
93,68,Bolivia (Plurin. State of),2010,4.1,1981.0,19650.0,1.5,15203
94,70,Bosnia and Herzegovina,1995,20.8,529.0,2034.0,1.0,3429
95,70,Bosnia and Herzegovina,2005,3.9,2968.0,11223.0,4.3,16204
96,70,Bosnia and Herzegovina,2010,0.9,4615.0,17176.0,5.5,21276
97,72,Botswana,1985,9.2,704.0,838.0,1.0,1159
98,72,Botswana,1995,7.0,3015.0,4731.0,1.9,3047
99,72,Botswana,2005,4.6,5351.0,9931.0,2.2,4096
100,72,Botswana,2010,8.6,6346.0,12787.0,2.3,4686
